,Lights,Refrigerator,Kitchen stove,Dishwasher,Washer,Dryer,Freezer,Other Appliances,Total (5 min)
Time,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W)
20:50:00,230,80,0,0,0,0,0,62,372
20:55:00,170,251,0,0,0,0,0,62,483
21:00:00,110,242,0,0,0,0,0,62,414
21:05:00,110,242,0,0,0,0,0,62,414
21:10:00,110,234,0,0,0,0,0,62,406
21:15:00,110,160,0,0,0,0,0,62,332
21:20:00,170,0,0,0,0,0,0,62,232
21:25:00,170,0,0,0,0,0,0,62,232
21:30:00,170,0,0,0,0,0,0,62,232
21:35:00,110,0,0,0,0,0,0,62,172
21:40:00,110,0,0,0,0,0,0,62,172
21:45:00,110,0,0,0,0,0,0,62,172
21:50:00,50,0,0,0,0,0,0,62,112
21:55:00,50,0,0,0,0,0,0,62,112
22:00:00,50,80,0,0,0,0,0,62,192
22:05:00,0,251,0,0,0,0,0,182,433
22:10:00,0,242,0,0,0,0,0,182,424
22:15:00,0,242,0,0,0,0,0,182,424
22:20:00,0,234,0,0,0,0,0,182,416
22:25:00,0,160,0,0,0,0,0,182,342
22:30:00,0,0,0,0,0,0,0,182,182
22:35:00,0,0,0,0,0,0,0,182,182
22:40:00,0,0,0,0,0,0,0,182,182
22:45:00,0,0,0,0,0,0,0,182,182
22:50:00,0,0,0,0,0,0,0,182,182
22:55:00,0,0,0,0,0,0,0,182,182
23:00:00,60,0,0,0,0,0,0,182,242
23:05:00,60,0,0,0,0,0,0,282,342
23:10:00,60,80,0,0,0,0,0,282,422
23:15:00,60,251,0,0,0,0,0,282,593
23:20:00,60,242,0,0,0,0,0,282,584
23:25:00,60,242,0,0,0,0,0,162,464
23:30:00,60,234,0,0,0,0,0,162,456
23:35:00,60,160,0,0,0,0,0,162,382
23:40:00,60,0,0,0,0,0,0,162,222
23:45:00,60,0,0,0,0,0,0,162,222
23:50:00,60,0,0,0,0,0,0,162,222
23:55:00,0,0,0,0,0,0,0,162,162
0:00:00,0,160,0,0,0,0,0,62,222
0:05:00,0,0,0,0,0,0,0,62,62
0:10:00,0,0,0,0,0,0,0,62,62
0:15:00,0,0,0,0,0,0,0,62,62
0:20:00,0,0,0,0,0,0,0,62,62
0:25:00,0,0,0,0,0,0,0,62,62
0:30:00,0,0,0,0,0,0,0,62,62
0:35:00,0,0,0,0,0,0,0,62,62
0:40:00,0,0,0,0,0,0,0,62,62
0:45:00,0,80,0,0,0,0,0,62,142
0:50:00,0,251,0,0,0,0,0,62,313
0:55:00,0,242,0,0,0,0,0,62,304
1:00:00,0,242,0,0,0,0,0,62,304
1:05:00,0,234,1600,0,0,0,0,62,1896
1:10:00,0,160,1600,0,0,0,0,62,1822
1:15:00,0,0,1600,0,0,0,0,62,1662
1:20:00,0,0,1600,0,0,0,0,62,1662
1:25:00,0,0,1600,0,0,0,0,62,1662
1:30:00,0,0,1600,0,0,0,0,62,1662
1:35:00,0,0,1600,0,0,0,0,62,1662
1:40:00,0,0,1600,0,0,0,0,62,1662
1:45:00,0,0,1600,0,0,0,0,62,1662
1:50:00,0,0,0,0,0,0,0,62,62
1:55:00,0,80,0,0,0,0,0,62,142
2:00:00,0,251,0,0,0,0,0,62,313
2:05:00,0,242,0,0,0,0,0,62,304
2:10:00,0,242,0,0,0,0,0,62,304
2:15:00,0,234,0,0,0,0,0,62,296
2:20:00,0,160,0,0,0,0,0,162,322
2:25:00,0,0,0,0,0,0,0,162,162
2:30:00,0,0,0,0,0,0,0,162,162
2:35:00,0,0,0,0,0,0,0,162,162
2:40:00,0,0,0,0,0,0,0,162,162
2:45:00,0,0,0,0,0,0,0,162,162
2:50:00,0,0,0,0,0,0,0,162,162
2:55:00,0,0,0,0,0,0,0,162,162
3:00:00,0,0,0,0,0,0,0,162,162
3:05:00,0,80,0,0,0,0,0,162,242
3:10:00,0,251,0,0,0,0,0,162,413
3:15:00,0,242,0,0,0,0,0,162,404
3:20:00,0,242,0,0,0,0,0,162,404
3:25:00,0,890,0,0,0,0,0,162,1052
3:30:00,0,80,0,0,0,0,0,162,242
3:35:00,0,0,0,0,0,0,0,1062,1062
3:40:00,0,0,0,0,0,0,0,1062,1062
3:45:00,0,0,0,0,0,0,0,162,162
3:50:00,0,0,0,0,0,0,0,162,162
3:55:00,0,80,0,0,0,0,0,282,362
4:00:00,0,251,0,0,0,0,0,282,533
4:05:00,0,259,0,0,0,0,0,282,541
4:10:00,0,251,0,0,0,0,0,282,533
4:15:00,0,242,0,0,0,0,0,182,424
4:20:00,0,242,0,0,0,0,0,182,424
4:25:00,0,234,0,0,0,0,0,182,416
4:30:00,0,242,0,0,0,0,0,182,424
4:35:00,0,234,0,0,0,0,0,182,416
4:40:00,0,201,0,0,0,0,0,182,383
4:45:00,0,80,0,0,0,0,0,182,262
4:50:00,0,0,0,0,0,0,0,62,62
4:55:00,0,0,0,0,0,0,0,62,62
5:00:00,0,0,0,0,0,0,0,62,62
5:05:00,0,0,0,0,0,0,0,62,62
5:10:00,0,0,0,0,0,0,0,62,62
5:15:00,0,0,0,0,0,0,0,62,62
5:20:00,0,0,0,0,0,0,0,62,62
5:25:00,0,80,0,0,0,0,0,62,142
5:30:00,0,251,0,0,0,0,0,62,313
5:35:00,0,242,0,0,0,0,0,62,304
5:40:00,0,242,0,0,0,0,0,62,304
5:45:00,0,234,0,0,0,0,0,62,296
5:50:00,0,160,0,0,0,0,0,62,222
5:55:00,0,0,0,0,0,0,0,62,62
6:00:00,0,0,0,0,0,0,0,62,62
6:05:00,0,0,0,0,0,0,0,62,62
6:10:00,60,0,0,0,0,0,0,62,122
6:15:00,60,0,0,0,0,0,0,62,122
6:20:00,60,0,0,0,0,0,0,62,122
6:25:00,60,0,0,0,0,0,0,62,122
6:30:00,60,0,0,0,0,0,0,62,122
6:35:00,90,80,0,0,0,0,0,62,232
6:40:00,120,251,0,0,0,0,0,62,433
6:45:00,90,242,0,0,0,0,0,62,394
6:50:00,90,242,0,0,0,0,0,62,394
6:55:00,90,234,0,0,0,0,0,62,386
7:00:00,90,160,0,0,0,0,0,62,312
7:05:00,30,0,0,0,0,0,0,62,92
7:10:00,30,0,0,0,0,0,0,62,92
7:15:00,60,0,0,0,0,0,0,62,122
7:20:00,60,0,0,0,0,0,0,62,122
7:25:00,30,0,1600,0,0,0,0,62,1692
7:30:00,30,0,1600,0,0,0,0,62,1692
7:35:00,30,0,1600,0,0,0,0,62,1692
7:40:00,30,0,1600,0,0,0,0,62,1692
7:45:00,30,80,1600,0,0,0,0,62,1772
7:50:00,30,251,1600,0,0,0,0,62,1943
7:55:00,30,242,1600,0,0,0,0,62,1934
8:00:00,30,242,1600,0,0,0,0,62,1934
8:05:00,30,234,1600,0,0,0,0,62,1926
8:10:00,30,160,0,0,0,0,0,62,252
8:15:00,30,0,0,0,0,0,0,62,92
8:20:00,30,0,0,0,0,0,0,62,92
8:25:00,30,0,0,0,0,0,0,62,92
8:30:00,30,0,0,0,0,0,0,62,92
8:35:00,30,0,0,0,0,0,0,62,92
8:40:00,30,0,0,0,0,0,0,62,92
8:45:00,30,0,0,0,0,0,0,62,92
8:50:00,30,0,0,0,0,0,0,62,92
8:55:00,30,80,0,0,0,0,0,62,172
9:00:00,30,251,0,0,0,0,0,62,343
9:05:00,30,242,0,0,0,0,0,62,334
9:10:00,0,242,0,0,0,0,0,62,304
9:15:00,0,234,0,0,0,0,0,62,296
9:20:00,0,160,0,0,0,0,0,62,222
9:25:00,0,0,0,0,0,0,0,62,62
9:30:00,0,0,0,0,0,0,0,62,62
9:35:00,0,0,0,0,0,0,0,62,62
9:40:00,0,0,0,0,0,0,0,62,62
9:45:00,0,0,0,0,0,0,0,62,62
9:50:00,0,0,0,0,0,0,0,62,62
9:55:00,0,0,0,0,0,0,0,62,62
