*title,can_gen_med_y1,,,,,,,,
*note,Each row corresponds to 5 minutes. The first row starts Jan 1 12:00,,,,,,,,
*header,Lights,Refrigerator,Kitchen_stove,Dishwasher,Washer,Dryer,Freezer,Other_appliances,
*units,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),
*data,60,0,0,0,0,0,191,492,743
*data,180,0,0,0,0,0,185,492,857
*data,180,80,0,0,0,0,185,492,936
*data,180,251,0,0,0,0,178,492,1101
*data,180,242,0,0,0,0,122,492,1036
*data,180,242,0,0,0,0,0,492,914
*data,180,234,0,0,0,0,0,492,906
*data,180,160,0,0,0,0,0,282,622
*data,180,0,0,0,0,0,0,382,562
*data,180,0,0,0,0,0,0,482,662
*data,300,0,0,0,0,0,0,482,782
*data,300,0,0,0,0,0,0,442,742
*data,300,0,0,0,0,0,0,442,742
*data,300,0,0,0,0,0,61,442,803
*data,300,0,0,0,0,0,191,442,933
*data,360,0,0,0,0,0,185,462,1007
*data,360,80,0,0,0,0,185,462,1086
*data,360,251,0,0,0,0,178,282,1071
*data,240,242,0,0,0,0,122,282,886
*data,240,242,0,0,0,0,0,282,764
*data,240,234,0,0,0,0,0,282,756
*data,120,160,0,0,0,0,0,282,562
*data,120,0,0,0,0,0,0,282,402
*data,120,0,0,0,0,0,0,282,402
*data,60,0,0,0,0,0,0,282,342
*data,60,0,0,0,0,0,0,282,342
*data,470,0,0,0,0,0,0,182,652
*data,470,0,0,0,0,0,61,182,713
*data,470,0,0,0,0,0,191,182,843
*data,470,0,0,0,0,0,185,182,837
*data,470,80,0,0,0,0,185,182,916
*data,670,251,0,0,0,0,178,182,1281
*data,670,242,0,0,0,0,122,182,1216
*data,670,242,0,0,0,0,0,182,1094
*data,670,234,0,0,0,0,0,182,1086
*data,610,160,0,0,0,0,0,62,832
*data,610,0,0,0,0,0,0,67,677
*data,610,0,0,0,0,0,0,167,777
*data,610,0,0,0,0,0,0,67,677
*data,610,0,0,0,0,0,0,67,677
*data,610,0,0,0,0,0,0,67,677
*data,610,0,0,0,0,0,61,67,738
*data,610,0,0,0,0,0,191,67,868
*data,610,0,0,0,0,0,185,67,862
*data,610,80,0,0,0,0,185,67,941
*data,610,251,0,0,0,0,178,67,1106
*data,200,242,0,0,0,0,122,67,631
*data,200,242,0,0,0,0,0,67,509
*data,200,234,0,0,0,0,0,67,501
*data,200,160,0,0,0,0,0,67,427
*data,0,0,0,0,0,0,0,67,67
*data,0,0,0,0,0,0,0,67,67
*data,0,0,0,0,0,0,0,67,67
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,61,62,123
*data,0,0,0,0,0,0,191,242,433
*data,0,0,0,0,0,0,185,242,427
*data,0,80,0,0,0,0,185,242,506
*data,0,251,0,0,0,0,178,242,671
*data,100,242,0,0,0,0,122,62,526
*data,100,242,0,0,0,0,0,62,404
*data,100,234,0,0,0,0,0,62,396
*data,100,160,0,0,0,0,0,62,322
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,61,242,303
*data,0,0,0,0,0,0,191,242,433
*data,0,0,0,0,0,0,185,272,457
*data,0,80,0,0,0,0,185,447,711
*data,0,251,0,0,0,0,178,447,876
*data,0,242,0,0,0,0,122,447,811
*data,0,242,0,0,0,0,0,447,689
*data,0,234,0,0,0,0,0,447,681
*data,0,160,0,0,0,0,0,447,607
*data,0,0,0,0,0,0,0,272,272
*data,0,0,0,0,0,0,0,272,272
*data,0,0,0,0,0,0,0,272,272
*data,0,0,0,0,0,0,0,272,272
*data,0,0,0,0,0,0,0,272,272
*data,0,0,0,0,0,0,61,272,333
*data,0,0,0,0,0,0,191,272,463
*data,0,0,0,0,0,0,185,272,457
*data,0,80,0,0,505,0,185,272,1041
*data,0,251,0,0,505,0,178,242,1176
*data,0,242,0,0,505,0,122,422,1291
*data,0,242,0,0,0,0,0,242,484
*data,0,234,0,0,0,0,0,342,576
*data,60,160,0,0,505,0,0,342,1067
*data,60,0,0,0,505,0,0,342,907
*data,60,0,0,0,505,0,0,342,907
*data,60,0,0,0,0,0,0,342,402
*data,60,0,0,0,0,0,0,342,402
*data,60,0,0,0,0,0,0,342,402
*data,60,0,0,0,0,0,61,342,463
*data,60,0,0,0,0,0,191,342,593
*data,60,0,0,0,0,0,185,342,587
*data,60,80,0,0,0,0,185,342,666
*data,60,251,0,0,0,4115,679,342,5447
*data,160,242,0,0,0,4115,61,442,5020
*data,160,242,0,0,0,4115,0,442,4960
*data,570,234,0,0,0,4115,0,442,5361
*data,160,160,0,0,0,4115,0,342,4777
*data,160,0,0,0,0,4115,0,62,4337
*data,160,0,0,0,0,4115,61,62,4398
*data,160,0,0,0,0,4115,191,312,4778
*data,570,0,0,0,0,0,197,312,1079
*data,510,0,0,0,0,0,191,312,1013
*data,60,0,0,0,0,0,185,312,557
*data,60,0,0,0,0,0,185,62,307
*data,60,0,0,0,0,0,178,62,300
*data,60,80,0,0,0,0,185,67,391
*data,60,251,0,0,0,4115,178,67,4671
*data,160,242,0,0,0,4115,153,67,4738
*data,160,242,0,0,0,4115,61,67,4645
*data,160,234,0,0,0,4115,0,67,4576
*data,180,160,0,0,0,4115,0,67,4522
*data,280,0,0,0,0,4115,0,62,4457
*data,280,0,0,0,0,4115,0,62,4457
*data,280,0,0,0,0,4115,0,67,4462
*data,280,0,0,0,0,4115,0,67,4462
*data,60,0,0,0,0,4115,0,67,4242
*data,60,0,0,0,0,4115,61,62,4298
*data,120,0,0,0,0,4115,191,62,4488
*data,120,0,0,0,0,0,185,62,367
*data,180,80,0,0,0,0,185,62,506
*data,300,251,0,0,0,0,178,62,791
*data,340,242,0,0,0,0,122,62,766
*data,340,242,0,0,0,0,0,62,644
*data,340,234,0,0,0,0,0,62,636
*data,380,160,0,0,0,0,0,62,602
*data,790,0,0,0,0,0,0,62,852
*data,790,0,0,0,0,0,0,162,952
*data,790,0,0,0,0,0,0,162,952
*data,790,0,0,0,0,0,0,162,952
*data,790,0,1600,0,0,0,0,162,2552
*data,790,0,1600,0,0,0,61,162,2613
*data,730,0,1600,0,0,0,191,162,2683
*data,730,0,1600,0,0,0,185,162,2677
*data,1040,80,1600,0,0,0,185,162,3066
*data,980,251,1600,0,0,0,178,162,3171
*data,980,242,1600,0,0,0,122,342,3286
*data,980,242,1600,0,0,0,0,342,3164
*data,670,234,1600,0,0,0,0,342,2846
*data,670,160,1600,0,0,0,0,342,2772
*data,870,0,1600,0,0,0,0,342,2812
*data,870,0,1600,0,0,0,0,462,2932
*data,1070,0,1600,0,0,0,0,462,3132
*data,1070,0,1600,0,0,0,0,362,3032
*data,1070,0,0,0,0,0,0,362,1432
*data,1070,0,0,0,0,0,61,362,1493
*data,1010,0,0,0,0,0,191,362,1563
*data,660,0,0,0,0,0,185,362,1207
*data,720,80,0,0,0,0,185,362,1346
*data,640,251,0,0,0,0,178,362,1431
*data,640,242,0,0,0,0,122,362,1366
*data,640,242,0,0,0,0,0,362,1244
*data,440,234,0,0,0,0,0,542,1216
*data,320,160,0,0,0,0,0,542,1022
*data,320,0,0,0,0,0,0,542,862
*data,320,0,0,0,0,0,0,542,862
*data,320,0,0,0,0,0,0,542,862
*data,320,0,0,0,0,0,0,362,682
*data,200,0,0,0,0,0,0,342,542
*data,300,0,0,0,0,0,61,342,703
*data,300,0,0,0,0,0,191,342,833
*data,300,0,0,0,0,0,185,342,827
*data,100,80,0,0,0,0,185,342,706
*data,100,251,0,0,0,0,178,342,871
*data,100,242,0,0,0,0,122,342,806
*data,100,242,0,0,0,0,0,342,684
*data,100,234,0,0,0,0,0,382,716
*data,100,160,0,0,0,0,0,382,642
*data,100,0,0,0,0,0,0,382,482
*data,100,0,0,0,0,0,0,382,482
*data,100,0,0,0,0,0,0,382,482
*data,100,0,0,0,0,0,0,382,482
*data,100,0,0,0,0,0,0,202,302
*data,100,0,0,0,0,0,61,202,363
*data,100,0,0,0,0,0,191,202,493
*data,100,0,0,0,0,0,185,202,487
*data,0,80,0,0,0,0,185,202,466
