*title,can_gen_med_Y1,,,,,,,,
*note,Each row corresponds to 5 minutes. The first row starts Jan 1 12:00,,,,,,,,
*header,Lights,Refrigerator,Kitchen_stove,Dishwasher,Washer,Dryer,Freezer,Other_appliances,
*units,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),
*data,365,251,0,0,0,0,0,62,678
*data,365,242,0,0,0,0,0,62,669
*data,465,242,0,0,0,0,0,62,769
*data,465,234,0,0,0,0,0,62,761
*data,465,160,0,0,0,0,0,62,687
*data,365,0,0,0,0,0,0,62,427
*data,365,0,0,0,0,0,0,62,427
*data,365,0,0,0,0,0,0,1562,1927
*data,160,0,0,0,0,0,0,1562,1722
*data,365,0,0,0,0,0,0,1562,1927
*data,365,0,0,0,0,0,0,1562,1927
*data,365,0,0,0,0,0,0,1562,1927
*data,365,0,0,0,0,0,0,1562,1927
*data,305,80,0,0,0,0,0,1562,1947
*data,405,251,0,0,0,0,0,1562,2218
*data,405,242,0,0,0,0,0,1562,2209
*data,405,242,0,0,0,0,0,1562,2209
*data,305,234,0,0,0,0,0,1562,2101
*data,200,160,0,0,0,0,0,1562,1922
*data,250,0,0,0,0,0,0,62,312
*data,150,0,0,0,0,0,0,62,212
*data,150,0,0,0,0,0,0,62,212
*data,150,0,0,0,0,0,0,62,212
*data,150,0,0,0,0,0,0,62,212
*data,50,0,0,0,0,0,0,62,112
*data,50,0,0,0,0,0,0,62,112
*data,205,0,0,0,0,0,0,62,267
*data,205,80,0,0,0,0,0,62,347
*data,205,251,0,0,0,0,0,62,518
*data,255,242,0,0,0,0,0,62,559
*data,255,242,0,0,0,0,0,62,559
*data,255,890,0,0,0,0,0,62,1207
*data,50,80,0,0,0,0,0,62,192
*data,50,0,0,0,0,0,0,62,112
*data,110,0,0,0,0,0,0,62,172
*data,110,0,0,0,0,0,0,62,172
*data,315,0,0,0,0,0,0,62,377
*data,315,80,0,0,0,0,0,62,457
*data,315,251,0,0,0,0,0,62,628
*data,315,259,0,0,0,0,0,62,636
*data,520,251,0,0,0,0,0,62,833
*data,520,242,0,0,0,0,0,62,824
*data,520,242,0,0,0,0,0,62,824
*data,520,234,0,0,0,0,0,62,816
*data,520,242,0,0,0,0,0,62,824
*data,620,234,0,0,0,0,0,62,916
*data,620,201,0,0,0,0,0,62,883
*data,415,80,0,0,0,0,0,92,587
*data,305,0,0,0,0,0,0,92,397
*data,305,0,0,0,0,0,0,92,397
*data,305,0,0,0,0,0,0,62,367
*data,305,0,0,0,0,0,0,62,367
*data,100,0,0,0,0,0,0,62,162
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,80,0,0,0,0,0,62,142
*data,0,251,0,0,0,0,0,62,313
*data,0,242,0,0,0,0,0,62,304
*data,0,242,0,0,0,0,0,62,304
*data,0,234,0,0,0,0,0,62,296
*data,0,160,0,0,0,0,0,62,222
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,205,0,0,0,0,0,0,62,267
*data,205,0,0,0,0,0,0,62,267
*data,205,0,0,0,0,0,0,62,267
*data,205,0,0,0,0,0,0,62,267
*data,205,0,0,0,0,0,0,62,267
*data,205,80,0,0,0,0,0,62,347
*data,205,251,0,0,0,0,0,1562,2018
*data,205,242,0,0,0,0,0,1812,2259
*data,205,242,0,0,0,0,0,1812,2259
*data,205,234,0,0,0,0,0,1562,2001
*data,205,160,0,0,0,0,0,1562,1927
*data,0,0,0,0,0,0,0,1562,1562
*data,0,80,0,0,0,0,0,242,322
*data,0,251,0,0,0,0,0,242,493
*data,0,242,0,0,0,0,0,242,484
*data,0,242,0,0,0,0,0,242,484
*data,0,234,0,0,0,0,0,242,476
*data,0,160,0,0,0,0,0,242,402
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
