building:zone 01:air point:temperature (oC), building:zone 01:interior convection:casual (W), building:zone 01:interior convection:opaque (W), building:zone 01:interior convection:transparent (W), building:zone 01:supplied energy:net (W), building:zone 02:air point:temperature (oC), building:zone 02:interior convection:casual (W), building:zone 02:interior convection:opaque (W), building:zone 02:interior convection:transparent (W), building:zone 02:supplied energy:net (W), climate:dry bulb temperature (oC), plant:ideal hvac models:component 01 furnace:fuel use:energy input:heating (W), plant:ideal hvac models:component 01 furnace:thermal output:heating (W), plant:ideal hvac models:component 02 air source heat pump:fuel use:energy input:heating (W), plant:ideal hvac models:component 02 air source heat pump:thermal output:heating (W), 
16.019674, 452.83099, -830.22046, -282.09280, 1228.0200, 15.474142, 442.88998, -665.80713, -156.41968, 818.67999, -11.100000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
16.602009, 266.03500, -828.62592, -219.12383, 1228.0200, 16.167944, 298.62000, -599.55798, -93.805328, 818.67999, -10.000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.093912, 314.75500, -805.81372, -195.04616, 1228.0200, 16.482887, 85.680000, -471.53745, -94.589142, 818.67999, -9.3999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.423052, 114.83500, -763.34607, -197.33490, 1228.0200, 16.519981, 128.52000, -524.67944, -110.84436, 818.67999, -7.8000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.457304, 151.51500, -727.50110, -208.90936, 1228.0200, 16.487188, 169.78500, -619.78137, -117.63593, 818.67999, -3.9000001, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.549280, 146.19501, -780.02332, -243.78455, 1228.0200, 16.341867, 163.80000, -621.62756, -143.36185, 818.67999, -3.3000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.393679, 118.19500, -751.41626, -239.08209, 1228.0200, 16.235023, 132.30000, -620.27148, -139.15857, 818.67999, -2.8000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.295763, 115.39500, -765.72736, -242.64914, 1228.0200, 16.098074, 129.14999, -625.75354, -140.13872, 818.67999, -2.2000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.165894, 150.11501, -798.55750, -245.07278, 1228.0200, 15.946910, 168.21001, -675.71637, -141.31084, 818.67999, -1.7000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.151390, 211.43500, -856.46503, -239.66750, 1228.0200, 15.853237, 237.19501, -755.29602, -133.16144, 818.67999, -1.1000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.207663, 324.59100, -922.66632, -240.02081, 1228.0200, 15.778599, 298.62000, -796.14819, -131.27029, 818.67999, -1.1000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.187914, 300.79102, -938.90778, -235.07814, 1228.0200, 15.683996, 271.84500, -801.18152, -126.38336, 818.67999, -0.60000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.441702, 527.87097, -1024.0093, -241.84766, 1228.0200, 15.725847, 527.31000, -991.20685, -127.01011, 818.67999, -0.60000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.607557, 463.19101, -1067.0382, -239.44347, 1228.0200, 15.776893, 454.54501, -984.84332, -126.03459, 818.67999, 0.0000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.893606, 695.23700, -1120.2094, -243.82372, 1228.0200, 15.614963, 271.84500, -792.38562, -127.29820, 818.67999, 0.0000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.444571, 251.92700, -947.53040, -236.38383, 1228.0200, 15.434131, 218.92500, -729.02448, -126.54666, 818.67999, 0.60000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.317993, 379.04700, -892.97607, -221.84387, 1228.0200, 15.462528, 361.93500, -939.60608, -119.29745, 818.67999, 1.1000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
