*header,File_Name,Attachment,Region,DHW_LpY,DHW_GJpY,DHW_energy_src,NN_DHW_System_Efficiency,AL_GJpY,AL-Dryer_GJpY,AL-Stove-Other_GJpY,stove_fuel_use,dryer_fuel_used,Clothes_Dryer,Rural_Suburb_Urban,Num_of_Adults,Num_of_Children,Employment_Ratio,HDD,Ground_Temp
*data,11MLA00035.HDF,1-SD,1-AT,76842,18.36,1,0.824,32.91,0.62,32.29,2,2,1.5,3,1,1,1,4030.8,7.9
*data,11MLA00040.HDF,1-SD,1-AT,62266,23.13,3,0.53,37.53,4.01,33.52,2,2,4,3,2,0,0,4030.8,7.9
*data,11MLA00042.HDF,1-SD,1-AT,75670,18.08,1,0.824,30.70,1.21,29.49,2,2,6,1,2,0,0,4030.8,7.9
*data,11MLA00047.HDF,1-SD,1-AT,74164,17.72,1,0.824,34.78,3.03,31.75,2,2,4,3,2,0,1,4030.8,7.9
*data,11MLA00053.HDF,1-SD,1-AT,91826,21.94,1,0.824,36.86,0,36.86,2,2,6,1,2,1,0,4030.8,7.9
*data,11PTA00021.HDF,1-SD,1-AT,59709,22.18,3,0.53,25.14,0.00,25.14,2,2,0,3,2,2,0,4030.8,7.9
*data,11PTA00027.HDF,1-SD,1-AT,74540,17.81,1,0.824,29.51,0.00,29.51,2,2,0,3,1,0,0,4030.8,7.9
*data,11PTA00032.HDF,1-SD,1-AT,58147,21.60,3,0.53,34.29,2.21,32.08,2,2,6,1,1,0,1,4030.8,7.9
*data,11PTA00033.HDF,1-SD,1-AT,84460,20.18,1,0.824,37.73,2.83,34.90,2,2,6,1,1,0,1,4030.8,7.9
*data,11PTA00038.HDF,1-SD,1-AT,79437,18.98,1,0.824,21.49,0.28,21.21,2,2,4,3,1,0,1,4030.8,7.9
*data,11PTA00062.HDF,1-SD,1-AT,57609,21.40,3,0.53,28.16,1.19,26.97,2,2,4,3,1,0,0,4030.8,7.9
*data,11PTA00063.HDF,1-SD,1-AT,73842,27.43,3,0.53,26.19,2.71,23.48,2,2,6,3,1,0,0,4030.8,7.9
*data,11PTA00096.HDF,1-SD,1-AT,92370,22.07,1,0.824,37.33,2.97,34.36,2,2,4,3,1,1,1,4030.8,7.9
*data,11PTA00098.HDF,1-SD,1-AT,87431,20.89,1,0.824,35.53,4.19,31.34,2,2,6,3,2,0,1,4030.8,7.9
*data,11PTA00103.HDF,1-SD,1-AT,73384,27.26,3,0.53,22.54,0.73,21.81,2,2,6,3,1,1,1,4030.8,7.9
*data,11PTA00111.HDF,1-SD,1-AT,68861,25.58,3,0.53,29.78,0.41,29.37,2,2,1.5,3,1,0,1,4030.8,7.9
*data,11PTA00133.HDF,1-SD,1-AT,95551,22.83,1,0.824,28.02,0.63,27.39,2,2,1.5,3,2,0,1,4030.8,7.9
*data,11PTA00135.HDF,1-SD,1-AT,73410,17.54,1,0.824,21.49,0.45,21.04,2,2,6,3,1,0,1,4030.8,7.9
*data,11PTA00145.HDF,1-SD,1-AT,61297,22.77,3,0.53,21.12,0.80,20.32,2,2,4,3,2,1,0,4030.8,7.9
*data,11PTA00180.HDF,1-SD,1-AT,76022,28.24,3,0.53,27.08,0.00,27.08,2,2,0,1,1,1,0,4030.8,7.9
*data,11PTA00187.HDF,1-SD,1-AT,66062,24.54,3,0.53,35.71,4.46,31.25,2,2,4,3,2,1,1,4030.8,7.9
*data,11PTA00209.HDF,1-SD,1-AT,76130,28.28,3,0.53,41.34,1.34,40.00,2,2,1.5,3,1,0,0,4030.8,7.9
*data,11PTA00228.HDF,1-SD,1-AT,96346,23.02,1,0.824,24.63,0.00,24.63,2,2,0,3,1,0,0,4030.8,7.9
*data,11PTA00241.HDF,1-SD,1-AT,70961,26.36,3,0.53,29.07,0.00,29.07,2,2,0,3,2,0,0,4030.8,7.9
*data,11PTA00244.HDF,1-SD,1-AT,87033,32.33,3,0.53,22.14,1.83,20.31,2,2,6,1,2,3,0.5,4030.8,7.9
*data,11PTA00246.HDF,1-SD,1-AT,71823,26.68,3,0.53,24.20,1.36,22.84,2,2,4,3,1,0,1,4030.8,7.9
*data,11PTA00248.HDF,1-SD,1-AT,58982,21.91,3,0.53,27.68,3.41,24.27,2,2,6,3,2,2,1,4030.8,7.9
*data,11PTA00252.HDF,1-SD,1-AT,84376,20.16,1,0.824,35.17,3.89,31.28,2,2,4,3,2,1,1,4030.8,7.9
*data,11PTA00273.HDF,1-SD,1-AT,59466,22.09,3,0.53,24.91,0.16,24.75,2,2,1.5,3,2,0,0,4030.8,7.9
*data,11PTA00276.HDF,1-SD,1-AT,82367,19.68,1,0.824,36.15,0.30,35.85,2,2,4,1,2,1,0,4030.8,7.9
*data,11PTA00281.HDF,1-SD,1-AT,92914,22.20,1,0.824,37.36,1.66,35.70,2,2,4,3,2,0,1,4030.8,7.9
*data,11PTA00289.HDF,1-SD,1-AT,69727,16.66,1,0.824,30.78,2.39,28.39,2,2,6,3,2,2,1,4030.8,7.9
*data,11SWA00023.HDF,1-SD,1-AT,99945,23.88,1,0.824,45.96,2.82,43.14,2,2,6,1,3,0,1,4030.8,7.9
*data,11SWA00052.HDF,1-SD,1-AT,88980,21.26,1,0.824,34.23,0.00,34.23,2,2,0,3,2,0,0.5,4030.8,7.9
*data,11SWA00056.HDF,1-SD,1-AT,75043,17.93,1,0.824,29.39,0.89,28.50,2,2,1.5,3,2,0,0,4030.8,7.9
*data,11SWA00075.HDF,1-SD,1-AT,99778,23.84,1,0.824,21.65,0.26,21.39,2,2,4,3,2,0,1,4030.8,7.9
*data,11SWA00104.HDF,1-SD,1-AT,82914,30.80,3,0.53,34.17,0,34.17,2,2,6,3,4,0,0.25,4030.8,7.9
*data,11SWA00109.HDF,1-SD,1-AT,102289,24.44,1,0.824,29.81,2.98,26.83,2,2,4,3,2,0,1,4030.8,7.9
*data,11SWA00118.HDF,1-SD,1-AT,67650,25.13,3,0.53,23.95,0.79,23.16,2,2,4,3,1,0,1,4030.8,7.9
*data,11SWA00120.HDF,1-SD,1-AT,98020,23.42,1,0.824,33.08,0.00,33.08,2,2,0,3,2,1,1,4030.8,7.9
*data,11SWA00126.HDF,1-SD,1-AT,70557,26.21,3,0.53,34.87,0.00,34.87,2,2,0,1,1,0,1,4030.8,7.9
*data,11SWA00135.HDF,1-SD,1-AT,71108,16.99,1,0.824,33.37,1.19,32.18,2,2,4,3,2,0,1,4030.8,7.9
*data,11SWA00140.HDF,1-SD,1-AT,60005,22.29,3,0.53,34.29,2.01,32.28,2,2,6,3,2,2,1,4030.8,7.9
*data,11SWA00143.HDF,1-SD,1-AT,79353,18.96,1,0.824,28.96,3.58,25.38,2,2,6,3,2,2,0.5,4030.8,7.9
*data,2264A00004.HDF,1-SD,1-AT,91141,22.47,1,0.824,27.77,0.87,26.90,2,2,1.5,3,2,0,0.5,4881.5,6.4
*data,2264A00010.HDF,1-SD,1-AT,74227,18.30,1,0.824,23.13,0.62,22.51,2,2,4,3,4,0,0,4881.5,6.4
