Filename,hse_type,region,HOT2XP_CITY
2213A00338.HDF,1-SD,5-BC,VANCOUVER
2213A00339.HDF,1-SD,5-BC,VANCOUVER
2213A00344.HDF,1-SD,5-BC,VANCOUVER
2213A00357.HDF,2-DR,5-BC,VANCOUVER
2213A00423.HDF,1-SD,5-BC,VANCOUVER
2213A00425.HDF,1-SD,5-BC,VANCOUVER
2213A00427.HDF,1-SD,5-BC,VANCOUVER
2213A00430.HDF,1-SD,5-BC,VANCOUVER
2213A00434.HDF,1-SD,5-BC,VANCOUVER
2213A00439.HDF,1-SD,5-BC,VANCOUVER
2213A00442.HDF,1-SD,5-BC,VANCOUVER
2213A00446.HDF,2-DR,5-BC,ABBOTSFORD
2213A00448.HDF,1-SD,5-BC,ABBOTSFORD
2213A00453.HDF,1-SD,5-BC,VANCOUVER
2213A00456.HDF,2-DR,5-BC,VANCOUVER
2213A00457.HDF,2-DR,5-BC,ABBOTSFORD
2213A00462.HDF,2-DR,5-BC,VANCOUVER
2213A00463.HDF,2-DR,5-BC,VANCOUVER
2213A00466.HDF,1-SD,5-BC,ABBOTSFORD
2213A00468.HDF,1-SD,5-BC,VANCOUVER
2213A00470.HDF,1-SD,5-BC,ABBOTSFORD
2213A00476.HDF,1-SD,5-BC,VANCOUVER
2213A00484.HDF,2-DR,5-BC,VANCOUVER
2213A00489.HDF,2-DR,5-BC,VANCOUVER
2213A00490.HDF,2-DR,5-BC,VANCOUVER
2213A00495.HDF,1-SD,5-BC,ABBOTSFORD
2213A00507.HDF,1-SD,5-BC,VANCOUVER
2213A00511.HDF,1-SD,5-BC,VANCOUVER
2213A00524.HDF,1-SD,5-BC,VANCOUVER
2213A00525.HDF,1-SD,5-BC,VANCOUVER
2213A00537.HDF,1-SD,5-BC,VANCOUVER
2213A00538.HDF,1-SD,5-BC,VANCOUVER
2213A00543.HDF,1-SD,5-BC,ABBOTSFORD
2213A00550.HDF,1-SD,5-BC,VANCOUVER
2213A00552.HDF,1-SD,5-BC,VANCOUVER
2213A00555.HDF,1-SD,5-BC,VANCOUVER
2213A00561.HDF,1-SD,5-BC,VANCOUVER
2213A00569.HDF,1-SD,5-BC,VANCOUVER
2213A00575.HDF,1-SD,5-BC,VANCOUVER
2213A00577.HDF,1-SD,5-BC,VANCOUVER
2213A00578.HDF,1-SD,5-BC,VANCOUVER
2213A00580.HDF,1-SD,5-BC,VANCOUVER
2213A00583.HDF,1-SD,5-BC,VANCOUVER
2213A00587.HDF,1-SD,5-BC,VANCOUVER
2213A00595.HDF,2-DR,5-BC,VANCOUVER
2213A00600.HDF,1-SD,5-BC,VANCOUVER
2213A00601.HDF,1-SD,5-BC,VANCOUVER
2213A00603.HDF,1-SD,5-BC,VANCOUVER
2213A00611.HDF,2-DR,5-BC,VANCOUVER
2213A00617.HDF,1-SD,5-BC,VANCOUVER
2213A00618.HDF,2-DR,5-BC,VANCOUVER
2213A00620.HDF,1-SD,5-BC,VANCOUVER
2213A00621.HDF,1-SD,5-BC,VANCOUVER
2213A00627.HDF,1-SD,5-BC,VANCOUVER
2213A00629.HDF,1-SD,5-BC,VANCOUVER
2213A00631.HDF,1-SD,5-BC,VANCOUVER
2213A00635.HDF,2-DR,5-BC,VANCOUVER
2213A00639.HDF,2-DR,5-BC,VANCOUVER
2213A00641.HDF,2-DR,5-BC,VANCOUVER
2213A00646.HDF,1-SD,5-BC,VANCOUVER
2213A00650.HDF,1-SD,5-BC,VANCOUVER
2213A00654.HDF,1-SD,5-BC,VANCOUVER
2213A00656.HDF,1-SD,5-BC,VANCOUVER
2213A00657.HDF,1-SD,5-BC,VANCOUVER
2213A00665.HDF,1-SD,5-BC,ABBOTSFORD
2213A00685.HDF,1-SD,5-BC,VANCOUVER
2213A00696.HDF,1-SD,5-BC,VANCOUVER
2213A00699.HDF,1-SD,5-BC,VANCOUVER
2213A00704.HDF,1-SD,5-BC,VANCOUVER
2213A00707.HDF,1-SD,5-BC,VANCOUVER
2213A00711.HDF,1-SD,5-BC,VANCOUVER
2213A00721.HDF,1-SD,5-BC,VANCOUVER
2213A00723.HDF,1-SD,5-BC,VANCOUVER
2213A00733.HDF,1-SD,5-BC,VANCOUVER
2213A00739.HDF,2-DR,5-BC,VANCOUVER
2213A00741.HDF,2-DR,5-BC,VANCOUVER
2213A00748.HDF,1-SD,5-BC,VANCOUVER
2213A00749.HDF,1-SD,5-BC,ABBOTSFORD
2213A00750.HDF,1-SD,5-BC,VANCOUVER
2213A00751.HDF,1-SD,5-BC,VANCOUVER
2213A00752.HDF,1-SD,5-BC,VANCOUVER
2213A00753.HDF,1-SD,5-BC,VANCOUVER
2213A00754.HDF,2-DR,5-BC,VANCOUVER
2213A00762.HDF,1-SD,5-BC,VANCOUVER
2213A00769.HDF,2-DR,5-BC,VANCOUVER
2213A00779.HDF,1-SD,5-BC,ABBOTSFORD
2213A00788.HDF,1-SD,5-BC,VANCOUVER
2213A00797.HDF,1-SD,5-BC,VANCOUVER
2213A00799.HDF,1-SD,5-BC,VANCOUVER
2213A00800.HDF,1-SD,5-BC,VANCOUVER
2213A00802.HDF,1-SD,5-BC,VANCOUVER
2213A00808.HDF,2-DR,5-BC,VANCOUVER
2213A00809.HDF,2-DR,5-BC,VANCOUVER
2213A00816.HDF,1-SD,5-BC,VANCOUVER
2213A00817.HDF,1-SD,5-BC,VANCOUVER
2213A00818.HDF,1-SD,5-BC,VANCOUVER
2213A00819.HDF,1-SD,5-BC,VANCOUVER
2213A00822.HDF,1-SD,5-BC,VANCOUVER
2213A00823.HDF,1-SD,5-BC,VANCOUVER
2213A00826.HDF,2-DR,5-BC,VANCOUVER
2213A00831.HDF,1-SD,5-BC,VANCOUVER
2213A00833.HDF,1-SD,5-BC,ABBOTSFORD
2213A00838.HDF,1-SD,5-BC,VANCOUVER
2213A00840.HDF,1-SD,5-BC,VANCOUVER
2213A00842.HDF,1-SD,5-BC,VANCOUVER
2213A00843.HDF,2-DR,5-BC,VANCOUVER
2213A00844.HDF,1-SD,5-BC,VANCOUVER
2213A00866.HDF,2-DR,5-BC,VANCOUVER
2213A00872.HDF,1-SD,5-BC,VANCOUVER
2213A00874.HDF,1-SD,5-BC,VANCOUVER
2213A00879.HDF,1-SD,5-BC,ABBOTSFORD
2213A00880.HDF,1-SD,5-BC,VANCOUVER
2213A00882.HDF,1-SD,5-BC,VANCOUVER
2213A00885.HDF,1-SD,5-BC,VANCOUVER
2213A00888.HDF,1-SD,5-BC,VANCOUVER
2213A00894.HDF,1-SD,5-BC,VANCOUVER
2213A00903.HDF,1-SD,5-BC,VANCOUVER
2213A00904.HDF,1-SD,5-BC,VANCOUVER
2213A00905.HDF,1-SD,5-BC,VANCOUVER
2213A00907.HDF,1-SD,5-BC,VANCOUVER
2213A00912.HDF,1-SD,5-BC,VANCOUVER
2213A00921.HDF,1-SD,5-BC,VANCOUVER
2213A00928.HDF,1-SD,5-BC,VANCOUVER
2213A00936.HDF,1-SD,5-BC,VANCOUVER
2213A00942.HDF,1-SD,5-BC,VANCOUVER
2213A00948.HDF,1-SD,5-BC,VANCOUVER
2213A01287.HDF,1-SD,5-BC,VANCOUVER
2213A01289.HDF,1-SD,5-BC,VANCOUVER
2213A01295.HDF,1-SD,5-BC,VANCOUVER
2213A01296.HDF,1-SD,5-BC,VANCOUVER
2213A01305.HDF,1-SD,5-BC,VANCOUVER
2213A01310.HDF,1-SD,5-BC,VANCOUVER
2213A01314.HDF,1-SD,5-BC,VANCOUVER
2213A01315.HDF,1-SD,5-BC,VANCOUVER
2213A01316.HDF,1-SD,5-BC,VANCOUVER
2213A01320.HDF,1-SD,5-BC,VANCOUVER
2213A01328.HDF,2-DR,5-BC,VANCOUVER
2213A01383.HDF,1-SD,5-BC,VANCOUVER
2213A01392.HDF,1-SD,5-BC,VANCOUVER
2213A01404.HDF,1-SD,5-BC,VANCOUVER
2213A01504.HDF,2-DR,5-BC,VANCOUVER
2213A01532.HDF,1-SD,5-BC,VANCOUVER
2213A01536.HDF,1-SD,5-BC,VANCOUVER
2213A01545.HDF,1-SD,5-BC,VANCOUVER
2213A01556.HDF,1-SD,5-BC,VANCOUVER
2213A01558.HDF,1-SD,5-BC,VANCOUVER
2213A01560.HDF,2-DR,5-BC,VANCOUVER
2213A01561.HDF,1-SD,5-BC,VANCOUVER
2213A01568.HDF,1-SD,5-BC,VANCOUVER
2213A01573.HDF,1-SD,5-BC,VANCOUVER
2213A01577.HDF,1-SD,5-BC,VANCOUVER
2213A01578.HDF,1-SD,5-BC,VANCOUVER
2213A01579.HDF,1-SD,5-BC,VANCOUVER
2213A01584.HDF,1-SD,5-BC,VANCOUVER
2213A01586.HDF,1-SD,5-BC,VANCOUVER
2213A01590.HDF,1-SD,5-BC,VANCOUVER
2213A01591.HDF,1-SD,5-BC,VANCOUVER
2213A01592.HDF,2-DR,5-BC,VANCOUVER
2213A01598.HDF,2-DR,5-BC,VANCOUVER
2213A01600.HDF,1-SD,5-BC,VICTORIA
2213A01603.HDF,1-SD,5-BC,PORT HARDY
2213A01605.HDF,1-SD,5-BC,VICTORIA
2213A01615.HDF,1-SD,5-BC,VANCOUVER
2213A01620.HDF,2-DR,5-BC,VANCOUVER
2213A01629.HDF,1-SD,5-BC,KAMLOOPS
2213A01630.HDF,1-SD,5-BC,VANCOUVER
2213A01639.HDF,1-SD,5-BC,VANCOUVER
2213A01640.HDF,1-SD,5-BC,KAMLOOPS
2213A01641.HDF,1-SD,5-BC,KAMLOOPS
2213A01646.HDF,2-DR,5-BC,KAMLOOPS
2213A01648.HDF,1-SD,5-BC,VANCOUVER
2213A01654.HDF,1-SD,5-BC,VANCOUVER
2213A01655.HDF,1-SD,5-BC,VANCOUVER
2213A01657.HDF,1-SD,5-BC,VANCOUVER
2213A01660.HDF,2-DR,5-BC,VANCOUVER
2213A01665.HDF,2-DR,5-BC,VANCOUVER
2213A01668.HDF,1-SD,5-BC,VANCOUVER
2213A01672.HDF,1-SD,5-BC,VANCOUVER
2213A01673.HDF,1-SD,5-BC,VANCOUVER
2213A01674.HDF,2-DR,5-BC,VANCOUVER
2213A01678.HDF,2-DR,5-BC,KAMLOOPS
2213A01680.HDF,2-DR,5-BC,KAMLOOPS
2213A01694.HDF,1-SD,5-BC,VANCOUVER
2213A01698.HDF,1-SD,5-BC,VANCOUVER
2213A01699.HDF,1-SD,5-BC,VANCOUVER
2213A01700.HDF,1-SD,5-BC,VANCOUVER
2213A01709.HDF,1-SD,5-BC,ABBOTSFORD
2213A01723.HDF,1-SD,5-BC,VANCOUVER
2213A01725.HDF,1-SD,5-BC,VANCOUVER
2213A01727.HDF,1-SD,5-BC,VANCOUVER
2213A01728.HDF,1-SD,5-BC,VANCOUVER
2213A01731.HDF,1-SD,5-BC,VANCOUVER
2213A01734.HDF,1-SD,5-BC,VANCOUVER
2213A01737.HDF,1-SD,5-BC,VANCOUVER
2213A01740.HDF,1-SD,5-BC,VANCOUVER
2213A01746.HDF,1-SD,5-BC,VANCOUVER
2213A01749.HDF,1-SD,5-BC,VANCOUVER
2213A01750.HDF,1-SD,5-BC,VANCOUVER
2213A01802.HDF,1-SD,5-BC,VANCOUVER
2213A01813.HDF,1-SD,5-BC,VANCOUVER
2213A01815.HDF,2-DR,5-BC,VANCOUVER
2213A01818.HDF,1-SD,5-BC,ABBOTSFORD
2213A01823.HDF,2-DR,5-BC,VANCOUVER
2213A01827.HDF,2-DR,5-BC,ABBOTSFORD
2213A01833.HDF,2-DR,5-BC,VANCOUVER
2213A01840.HDF,1-SD,5-BC,VANCOUVER
2213A01843.HDF,1-SD,5-BC,VANCOUVER
2213A01846.HDF,1-SD,5-BC,VANCOUVER
2213A01849.HDF,2-DR,5-BC,VANCOUVER
2213A01850.HDF,1-SD,5-BC,VICTORIA
2213A01852.HDF,1-SD,5-BC,VICTORIA
2213A01857.HDF,1-SD,5-BC,VICTORIA
2213A01861.HDF,1-SD,5-BC,VICTORIA
2213A01871.HDF,1-SD,5-BC,VICTORIA
2213A01872.HDF,1-SD,5-BC,VICTORIA
2213A01880.HDF,1-SD,5-BC,VANCOUVER
2213A01883.HDF,1-SD,5-BC,VANCOUVER
2213A01885.HDF,2-DR,5-BC,VANCOUVER
2213A01886.HDF,1-SD,5-BC,VANCOUVER
2213A01887.HDF,1-SD,5-BC,ABBOTSFORD
2213A01889.HDF,2-DR,5-BC,ABBOTSFORD
2213A01900.HDF,1-SD,5-BC,VANCOUVER
2213A01907.HDF,2-DR,5-BC,VANCOUVER
2213A01915.HDF,1-SD,5-BC,VANCOUVER
2213A01916.HDF,2-DR,5-BC,VANCOUVER
2213A01921.HDF,1-SD,5-BC,VANCOUVER
2213A01936.HDF,2-DR,5-BC,VANCOUVER
2213A01947.HDF,1-SD,5-BC,VANCOUVER
