Filename,hse_type,region,wndw_favourite_code
1010A00509.HDF,2-DR,2-QC,200030
1010A00514.HDF,2-DR,2-QC,200030
1010A00526.HDF,2-DR,2-QC,200000
1010A00529.HDF,2-DR,2-QC,200000
1010A00535.HDF,1-SD,2-QC,200022
1010A00540.HDF,2-DR,2-QC,200000
1010A00546.HDF,2-DR,2-QC,200000
1010A00551.HDF,2-DR,2-QC,231020
1010A00590.HDF,1-SD,2-QC,200000
1010A00606.HDF,1-SD,2-QC,200002
1010A00609.HDF,1-SD,2-QC,200000
1010A00613.HDF,2-DR,2-QC,200000
1010A00614.HDF,2-DR,2-QC,200000
1010A00624.HDF,2-DR,2-QC,200030
1010A00629.HDF,1-SD,2-QC,200000
1010A00630.HDF,2-DR,2-QC,200000
1010A00632.HDF,1-SD,2-QC,200000
1010A00641.HDF,2-DR,2-QC,200000
1010A00642.HDF,2-DR,2-QC,200000
1010A00664.HDF,1-SD,2-QC,200000
1010A00667.HDF,1-SD,2-QC,200000
1010A00675.HDF,2-DR,2-QC,200030
1010A00678.HDF,1-SD,2-QC,200000
1010A01003.HDF,2-DR,2-QC,200000
1010A30014.HDF,2-DR,2-QC,200000
1010A30026.HDF,2-DR,2-QC,200000
1010A30027.HDF,1-SD,2-QC,200004
1010A30030.HDF,1-SD,2-QC,200004
1010A30032.HDF,1-SD,2-QC,200004
1010A30041.HDF,1-SD,2-QC,200000
1010A30046.HDF,2-DR,2-QC,200004
1011A00004.HDF,2-DR,2-QC,200000
1011A00008.HDF,1-SD,2-QC,200004
1011A00052.HDF,1-SD,2-QC,200000
1011A00058.HDF,2-DR,2-QC,231002
1011A00060.HDF,2-DR,2-QC,200000
1011A00063.HDF,1-SD,2-QC,231002
1011A00071.HDF,1-SD,2-QC,200004
1011A00077.HDF,1-SD,2-QC,200004
1011A00078.HDF,1-SD,2-QC,200000
1011A00079.HDF,2-DR,2-QC,200004
1011A00085.HDF,2-DR,2-QC,200000
1011A00096.HDF,2-DR,2-QC,200002
1011A00098.HDF,1-SD,2-QC,200202
1011A00101.HDF,1-SD,2-QC,200000
1011A00105.HDF,2-DR,2-QC,200004
1011A00110.HDF,2-DR,2-QC,200200
1011A00113.HDF,1-SD,2-QC,200002
1011A00116.HDF,2-DR,2-QC,200000
1011A00118.HDF,2-DR,2-QC,200000
1011A00124.HDF,2-DR,2-QC,200004
1011A00125.HDF,2-DR,2-QC,200002
1011A00129.HDF,2-DR,2-QC,200000
1011A00135.HDF,1-SD,2-QC,200000
1011A00137.HDF,1-SD,2-QC,200004
1011A00138.HDF,2-DR,2-QC,200002
1011A00140.HDF,2-DR,2-QC,200004
1011A00141.HDF,2-DR,2-QC,200000
1011A00146.HDF,2-DR,2-QC,234002
1011A00148.HDF,2-DR,2-QC,200000
1011A00150.HDF,2-DR,2-QC,200000
1011A00154.HDF,2-DR,2-QC,100020
1011A00157.HDF,2-DR,2-QC,200004
1011A00158.HDF,2-DR,2-QC,200000
1011A00160.HDF,2-DR,2-QC,200000
1011A00178.HDF,2-DR,2-QC,200004
1011A00180.HDF,2-DR,2-QC,200000
1011A00187.HDF,1-SD,2-QC,200004
1011A00189.HDF,2-DR,2-QC,200000
1011A00191.HDF,2-DR,2-QC,200000
1011A00193.HDF,2-DR,2-QC,200000
1011A00197.HDF,2-DR,2-QC,200000
1011A00199.HDF,2-DR,2-QC,200000
1011A00203.HDF,2-DR,2-QC,200004
1011A00208.HDF,1-SD,2-QC,200000
1011A00209.HDF,2-DR,2-QC,200002
1011A00210.HDF,1-SD,2-QC,200000
1011A00211.HDF,2-DR,2-QC,200000
1011A00214.HDF,2-DR,2-QC,200000
1011A00217.HDF,2-DR,2-QC,200002
1011A00219.HDF,2-DR,2-QC,200000
1011A00221.HDF,2-DR,2-QC,200000
1011A00223.HDF,1-SD,2-QC,200000
1011A00237.HDF,1-SD,2-QC,200004
1011A00245.HDF,2-DR,2-QC,200002
1011A00251.HDF,1-SD,2-QC,200004
1011A00252.HDF,2-DR,2-QC,200004
1011A00255.HDF,1-SD,2-QC,200004
1011A00259.HDF,2-DR,2-QC,200002
1011A00267.HDF,2-DR,2-QC,200000
1011A00277.HDF,2-DR,2-QC,200000
1011A00278.HDF,2-DR,2-QC,231004
1011A00280.HDF,1-SD,2-QC,200004
1011A00285.HDF,2-DR,2-QC,200000
1012A00004.HDF,1-SD,2-QC,200002
1012A00005.HDF,2-DR,2-QC,200004
1012A00007.HDF,1-SD,2-QC,200002
1012A00031.HDF,1-SD,2-QC,234004
1012A00032.HDF,1-SD,2-QC,200002
1012A00036.HDF,1-SD,2-QC,200002
1012A00044.HDF,1-SD,2-QC,200004
1012A00046.HDF,1-SD,2-QC,234002
1012A00055.HDF,1-SD,2-QC,301004
1012A00063.HDF,1-SD,2-QC,200004
1012A00065.HDF,1-SD,2-QC,234004
1012A00068.HDF,1-SD,2-QC,234004
1012A00079.HDF,2-DR,2-QC,334004
1012A00080.HDF,1-SD,2-QC,200202
1012A00081.HDF,1-SD,2-QC,200004
1012A00082.HDF,1-SD,2-QC,234004
1012A00111.HDF,1-SD,2-QC,200002
1012A00115.HDF,1-SD,2-QC,200002
1012A00119.HDF,1-SD,2-QC,200004
1012A00128.HDF,1-SD,2-QC,200002
1012A00129.HDF,1-SD,2-QC,200002
1012A00139.HDF,1-SD,2-QC,200002
1012A00144.HDF,1-SD,2-QC,334004
1012A00147.HDF,1-SD,2-QC,200002
1012A00150.HDF,1-SD,2-QC,200004
1012A00152.HDF,1-SD,2-QC,200000
1012A00169.HDF,1-SD,2-QC,200002
1012A00192.HDF,2-DR,2-QC,200004
1012A00199.HDF,1-SD,2-QC,200004
1012A00202.HDF,1-SD,2-QC,231004
1012A00205.HDF,1-SD,2-QC,200000
1012A00215.HDF,1-SD,2-QC,200002
1012A00216.HDF,2-DR,2-QC,200004
1012A00228.HDF,1-SD,2-QC,200004
1012A00239.HDF,2-DR,2-QC,200004
1012A00259.HDF,1-SD,2-QC,200004
1012A00261.HDF,1-SD,2-QC,200004
1012A00262.HDF,1-SD,2-QC,234004
1012A00263.HDF,1-SD,2-QC,200004
1012A00275.HDF,2-DR,2-QC,200002
1013A00019.HDF,1-SD,2-QC,234000
1013A00028.HDF,2-DR,2-QC,234000
1013A00031.HDF,1-SD,2-QC,200002
1013A00035.HDF,1-SD,2-QC,200022
1013A00039.HDF,2-DR,2-QC,200002
1013A00041.HDF,1-SD,2-QC,200002
1013A00046.HDF,1-SD,2-QC,200000
1013A00048.HDF,2-DR,2-QC,200000
1013A00049.HDF,1-SD,2-QC,200000
1013A00052.HDF,1-SD,2-QC,234000
1013A00070.HDF,2-DR,2-QC,200000
1013A00074.HDF,2-DR,2-QC,200002
1013A00079.HDF,1-SD,2-QC,200000
1013A00094.HDF,1-SD,2-QC,200002
1013A00105.HDF,2-DR,2-QC,200000
1013A00106.HDF,2-DR,2-QC,200000
1013A00113.HDF,2-DR,2-QC,200000
1013A00122.HDF,2-DR,2-QC,200000
1014A00012.HDF,1-SD,2-QC,200002
1014A00022.HDF,1-SD,2-QC,200002
1014A00028.HDF,1-SD,2-QC,200004
1014A00030.HDF,1-SD,2-QC,200004
1014A00033.HDF,1-SD,2-QC,200002
1014A00034.HDF,1-SD,2-QC,200002
1014A00036.HDF,1-SD,2-QC,200002
1014A00039.HDF,1-SD,2-QC,200002
1014A00041.HDF,1-SD,2-QC,200002
1014A00044.HDF,1-SD,2-QC,200022
1014A00054.HDF,1-SD,2-QC,200004
1014A00061.HDF,1-SD,2-QC,200004
1014A00063.HDF,1-SD,2-QC,234004
1014A00075.HDF,1-SD,2-QC,234004
1014A00078.HDF,1-SD,2-QC,200002
1014A00082.HDF,1-SD,2-QC,200004
1014A00085.HDF,1-SD,2-QC,200004
1014A00087.HDF,1-SD,2-QC,200004
1014A00090.HDF,1-SD,2-QC,200002
1014A00091.HDF,1-SD,2-QC,200002
1014A00103.HDF,1-SD,2-QC,200002
1014A00122.HDF,1-SD,2-QC,200004
1014A00125.HDF,1-SD,2-QC,200002
1014A00127.HDF,1-SD,2-QC,301000
1014A00141.HDF,1-SD,2-QC,200004
1014A00150.HDF,2-DR,2-QC,200002
1014A00159.HDF,1-SD,2-QC,200004
1014A00166.HDF,1-SD,2-QC,202004
1014A00169.HDF,2-DR,2-QC,200000
1014A00171.HDF,1-SD,2-QC,200002
1014A00174.HDF,1-SD,2-QC,200002
1014A00183.HDF,1-SD,2-QC,200202
1014A00184.HDF,2-DR,2-QC,200002
1014A00195.HDF,2-DR,2-QC,200004
1014A00197.HDF,1-SD,2-QC,200002
1014A00207.HDF,1-SD,2-QC,200002
1014A00208.HDF,1-SD,2-QC,200000
1014A00213.HDF,1-SD,2-QC,200202
1014A00219.HDF,1-SD,2-QC,200000
1014A00230.HDF,1-SD,2-QC,200002
1014A00239.HDF,1-SD,2-QC,200002
1014A00242.HDF,1-SD,2-QC,200002
1014A00253.HDF,1-SD,2-QC,200202
1014A00254.HDF,1-SD,2-QC,200004
1014A00255.HDF,1-SD,2-QC,200002
1014A00259.HDF,1-SD,2-QC,200004
1014A00264.HDF,1-SD,2-QC,200004
1014A00267.HDF,2-DR,2-QC,200002
1014A00269.HDF,2-DR,2-QC,200002
1014A00285.HDF,1-SD,2-QC,200002
1014A00297.HDF,1-SD,2-QC,200004
1014A00301.HDF,1-SD,2-QC,200002
1014A00303.HDF,1-SD,2-QC,200002
1014A00308.HDF,1-SD,2-QC,200002
1014A00315.HDF,1-SD,2-QC,200002
1014A00316.HDF,1-SD,2-QC,200002
1014A00318.HDF,1-SD,2-QC,200004
1014A00320.HDF,1-SD,2-QC,200002
1014A00329.HDF,1-SD,2-QC,200004
1014A00332.HDF,1-SD,2-QC,200002
1014A00333.HDF,1-SD,2-QC,200004
1014A00343.HDF,1-SD,2-QC,301002
1014A00344.HDF,2-DR,2-QC,200002
1014A00345.HDF,1-SD,2-QC,200002
1014A00350.HDF,1-SD,2-QC,200004
1015A00782.HDF,1-SD,3-OT,200212
1015A00785.HDF,1-SD,3-OT,200224
1017A00006.HDF,1-SD,3-OT,200004
1017A00013.HDF,1-SD,3-OT,200002
1017A00032.HDF,1-SD,3-OT,202002
1017A00035.HDF,1-SD,3-OT,200004
1017A00044.HDF,2-DR,3-OT,100004
1018A00007.HDF,1-SD,3-OT,200004
1018A00013.HDF,1-SD,3-OT,200022
1018A00021.HDF,1-SD,3-OT,200002
1018A00044.HDF,1-SD,3-OT,200002
1018A00046.HDF,1-SD,3-OT,200022
1018A00058.HDF,1-SD,3-OT,200024
1018A00059.HDF,2-DR,3-OT,200024
1018A00067.HDF,1-SD,3-OT,200020
1018A00072.HDF,1-SD,3-OT,100002
1018A00073.HDF,1-SD,3-OT,200002
1018A00075.HDF,2-DR,3-OT,200004
1018A00076.HDF,1-SD,3-OT,200002
1018A00084.HDF,1-SD,3-OT,200004
1018A00085.HDF,1-SD,3-OT,100002
1018A00089.HDF,1-SD,3-OT,100002
1018A00107.HDF,1-SD,3-OT,203013
1018A00110.HDF,1-SD,3-OT,200004
1018A00114.HDF,1-SD,3-OT,200004
1018A00136.HDF,1-SD,3-OT,234004
1018A00137.HDF,1-SD,3-OT,100002
1018A00143.HDF,1-SD,3-OT,200002
1018A00154.HDF,1-SD,3-OT,200002
1018A00161.HDF,2-DR,3-OT,200004
1018A00167.HDF,1-SD,3-OT,100000
1018A00180.HDF,1-SD,3-OT,202002
1018A00181.HDF,1-SD,3-OT,200004
1018A00183.HDF,1-SD,3-OT,200004
1018A00184.HDF,1-SD,3-OT,200002
1018A00185.HDF,1-SD,3-OT,202004
1018A00187.HDF,1-SD,3-OT,200004
1018A00195.HDF,1-SD,3-OT,200004
1018A00196.HDF,2-DR,3-OT,200002
1018A00197.HDF,1-SD,3-OT,100002
1018A00201.HDF,1-SD,3-OT,200202
1018A00217.HDF,1-SD,3-OT,200004
1018A00224.HDF,1-SD,3-OT,200024
1018A00235.HDF,1-SD,3-OT,200022
1018A00237.HDF,1-SD,3-OT,200002
1018A00244.HDF,1-SD,3-OT,200004
1018A00245.HDF,1-SD,3-OT,200022
1018A00246.HDF,1-SD,3-OT,200004
1018A00248.HDF,1-SD,3-OT,100002
1018A00250.HDF,1-SD,3-OT,200222
1018A00256.HDF,1-SD,3-OT,200024
1018A00259.HDF,2-DR,3-OT,200002
1018A00263.HDF,1-SD,3-OT,200002
1018A00264.HDF,1-SD,3-OT,100004
1019A00028.HDF,1-SD,2-QC,200004
1019A00030.HDF,1-SD,2-QC,200004
1019A00031.HDF,1-SD,2-QC,200022
1019A00033.HDF,1-SD,2-QC,200002
1019A00044.HDF,1-SD,2-QC,200004
1019A00051.HDF,1-SD,2-QC,200000
1019A00056.HDF,1-SD,2-QC,200002
1019A00062.HDF,1-SD,2-QC,200004
1019A00064.HDF,1-SD,2-QC,200002
1019A00065.HDF,1-SD,2-QC,200002
1019A00072.HDF,1-SD,2-QC,200004
1019A00073.HDF,1-SD,2-QC,200002
1019A00084.HDF,2-DR,2-QC,301002
1019A00091.HDF,1-SD,2-QC,200002
1019A00094.HDF,2-DR,2-QC,200022
1019A00100.HDF,1-SD,2-QC,200002
1019A00108.HDF,1-SD,2-QC,200000
1019A00110.HDF,1-SD,2-QC,200002
1019A00114.HDF,1-SD,2-QC,100002
1019A00119.HDF,1-SD,2-QC,200002
1019A00135.HDF,1-SD,2-QC,200002
1019A00149.HDF,1-SD,2-QC,200002
1019A00150.HDF,1-SD,2-QC,200004
1019A00154.HDF,1-SD,2-QC,200000
1019A00158.HDF,1-SD,2-QC,200004
1019A00163.HDF,2-DR,2-QC,200004
1019A00170.HDF,1-SD,2-QC,200004
1019A00172.HDF,1-SD,2-QC,200002
1019A00178.HDF,2-DR,2-QC,200002
1019A00179.HDF,1-SD,2-QC,301000
1019A00189.HDF,2-DR,2-QC,200002
1019A00192.HDF,1-SD,2-QC,200004
1019A00214.HDF,1-SD,2-QC,200002
1019A00220.HDF,2-DR,2-QC,200002
1019A00223.HDF,1-SD,2-QC,200002
1019A00226.HDF,1-SD,2-QC,200002
1019A00227.HDF,2-DR,2-QC,200002
1019A00228.HDF,1-SD,2-QC,200002
1019A00271.HDF,1-SD,2-QC,200002
1019A00279.HDF,2-DR,2-QC,200000
1019A00290.HDF,1-SD,2-QC,200000
1019A00292.HDF,1-SD,2-QC,200000
1019A00296.HDF,2-DR,2-QC,200000
1019A00297.HDF,2-DR,2-QC,200000
1019A01007.HDF,1-SD,2-QC,200000
1019A01008.HDF,2-DR,2-QC,200000
1019A01015.HDF,2-DR,2-QC,200002
1019A01016.HDF,2-DR,2-QC,200002
1022A00003.HDF,1-SD,2-QC,234004
1022A00026.HDF,1-SD,2-QC,100002
1022A00029.HDF,1-SD,2-QC,100000
1022A00031.HDF,1-SD,2-QC,200000
1022A00037.HDF,1-SD,2-QC,200004
1022A00047.HDF,2-DR,2-QC,100002
1022A00050.HDF,1-SD,2-QC,200004
1022A00060.HDF,1-SD,2-QC,200000
1022A00061.HDF,1-SD,2-QC,200000
1022A00067.HDF,1-SD,2-QC,200002
1022A00079.HDF,1-SD,2-QC,200004
1022A00087.HDF,1-SD,2-QC,200002
1022A00089.HDF,1-SD,2-QC,200004
1022A00094.HDF,1-SD,2-QC,200004
1022A00105.HDF,1-SD,2-QC,200002
1022A00111.HDF,1-SD,2-QC,200000
1022A00112.HDF,1-SD,2-QC,200202
1022A00120.HDF,1-SD,2-QC,200004
1022A00127.HDF,1-SD,2-QC,200004
1022A00147.HDF,1-SD,2-QC,200002
1022A00154.HDF,1-SD,2-QC,202002
1022A00165.HDF,1-SD,2-QC,200202
1022A00174.HDF,1-SD,2-QC,200004
1022A00186.HDF,1-SD,2-QC,200000
1022A00199.HDF,1-SD,2-QC,200000
1022A00201.HDF,1-SD,2-QC,200000
1022A00209.HDF,1-SD,2-QC,200202
1022A00211.HDF,1-SD,2-QC,234004
1023A00006.HDF,1-SD,2-QC,200004
1023A00008.HDF,1-SD,2-QC,200004
1023A00009.HDF,1-SD,2-QC,200004
1023A00014.HDF,1-SD,2-QC,200004
1023A00015.HDF,1-SD,2-QC,100000
1023A00018.HDF,1-SD,2-QC,200000
1023A00022.HDF,1-SD,2-QC,100004
1023A00023.HDF,1-SD,2-QC,202004
1023A00030.HDF,1-SD,2-QC,200004
1023A00031.HDF,1-SD,2-QC,202004
1023A00055.HDF,1-SD,2-QC,200004
1023A00069.HDF,1-SD,2-QC,200004
1023A00079.HDF,1-SD,2-QC,200004
1023A00080.HDF,1-SD,2-QC,200004
1023A00081.HDF,1-SD,2-QC,200004
1023A00085.HDF,1-SD,2-QC,202002
1023A00087.HDF,1-SD,2-QC,200002
1023A00103.HDF,1-SD,2-QC,200004
1023A00108.HDF,1-SD,2-QC,200202
1023A00110.HDF,1-SD,2-QC,200004
1023A00116.HDF,1-SD,2-QC,100002
1023A00119.HDF,1-SD,2-QC,202002
1023A00131.HDF,1-SD,2-QC,100002
1023A00144.HDF,1-SD,2-QC,200000
1023A00145.HDF,1-SD,2-QC,202002
1023A00148.HDF,1-SD,2-QC,202002
1023A00152.HDF,1-SD,2-QC,202002
1023A00168.HDF,1-SD,2-QC,100002
1023A00178.HDF,1-SD,2-QC,231004
1023A00179.HDF,1-SD,2-QC,200002
1023A00180.HDF,1-SD,2-QC,202002
1023A00192.HDF,1-SD,2-QC,202002
1023A00193.HDF,2-DR,2-QC,202004
1023A00194.HDF,2-DR,2-QC,202004
1023A00199.HDF,1-SD,2-QC,100002
1023A00202.HDF,1-SD,2-QC,200002
1024A00002.HDF,1-SD,2-QC,200004
1024A00003.HDF,1-SD,2-QC,234004
1024A00008.HDF,1-SD,2-QC,200002
1024A00009.HDF,1-SD,2-QC,200002
1024A00016.HDF,1-SD,2-QC,200004
1024A00030.HDF,1-SD,2-QC,200004
1024A00044.HDF,1-SD,2-QC,200004
1024A00045.HDF,1-SD,2-QC,200002
1024A00049.HDF,1-SD,2-QC,200000
1024A00055.HDF,1-SD,2-QC,200002
1024A00068.HDF,1-SD,2-QC,200000
1024A00071.HDF,2-DR,2-QC,200000
1024A00077.HDF,1-SD,2-QC,200002
1024A00078.HDF,1-SD,2-QC,200004
1024A00080.HDF,1-SD,2-QC,200202
1024A00084.HDF,1-SD,2-QC,200004
1024A00098.HDF,1-SD,2-QC,200002
1024A00127.HDF,1-SD,2-QC,200002
1024A00131.HDF,1-SD,2-QC,200002
1024A00141.HDF,1-SD,2-QC,200002
1024A00142.HDF,1-SD,2-QC,200004
1024A00154.HDF,1-SD,2-QC,234004
1024A00160.HDF,1-SD,2-QC,200004
1024A00167.HDF,1-SD,2-QC,200004
1024A00173.HDF,1-SD,2-QC,200004
1024A00176.HDF,1-SD,2-QC,200002
1024A00204.HDF,1-SD,2-QC,200002
1024A00206.HDF,1-SD,2-QC,200004
1024A00211.HDF,1-SD,2-QC,200004
1024A00237.HDF,1-SD,2-QC,200004
1024A00249.HDF,1-SD,2-QC,200002
1024A00252.HDF,1-SD,2-QC,200004
1024A00257.HDF,1-SD,2-QC,200004
1024A00260.HDF,1-SD,2-QC,200004
1024A00262.HDF,1-SD,2-QC,200002
1024A00268.HDF,1-SD,2-QC,200004
1024A00271.HDF,1-SD,2-QC,202000
1024A00284.HDF,1-SD,2-QC,200004
1024A00285.HDF,1-SD,2-QC,200004
1024A00286.HDF,1-SD,2-QC,200004
1024A00289.HDF,1-SD,2-QC,200002
1024A00294.HDF,1-SD,2-QC,200004
1024A00297.HDF,1-SD,2-QC,200002
1024A00298.HDF,1-SD,2-QC,200004
1024A00306.HDF,1-SD,2-QC,200002
1024A00307.HDF,1-SD,2-QC,200004
1024A00312.HDF,1-SD,2-QC,200002
1024A00321.HDF,1-SD,2-QC,200004
1024A00341.HDF,2-DR,2-QC,200004
1024A00343.HDF,1-SD,2-QC,200002
1024A00365.HDF,1-SD,2-QC,200002
1024A00370.HDF,1-SD,2-QC,200002
1024A00374.HDF,1-SD,2-QC,200004
1024A00391.HDF,1-SD,2-QC,200004
1024A00408.HDF,2-DR,2-QC,200004
1024A00409.HDF,1-SD,2-QC,200002
1024A00418.HDF,1-SD,2-QC,200202
1024A00420.HDF,1-SD,2-QC,200004
1024A00425.HDF,1-SD,2-QC,234002
1024A00426.HDF,1-SD,2-QC,200004
1024A00428.HDF,1-SD,2-QC,200002
1024A00436.HDF,1-SD,2-QC,200004
1024A00437.HDF,1-SD,2-QC,200004
1024A00440.HDF,1-SD,2-QC,200002
1025A00162.HDF,1-SD,2-QC,200024
1028A00005.HDF,1-SD,2-QC,231002
1028A00012.HDF,1-SD,2-QC,200002
