Number,File Name,Main Refrigerator (litre),Secondary Refri. (litre),Stove (presence),Dishwasher (loads/week),Main Freezer (litre),Secondary Freezer (litre),Clothes Washer (loads/week),Clothes Dryer (loads/week),Microwave (presence),Color TV (count),BW TV (count),Furnace Fan (presence),Boiler Pump (presence),Supplementary Ht. (count),VCR (count),CD Player (count),Stereo (count),Computer (count),Electric Blanket (count),Water Bed (count),Humidifier (count),Dehumidifier (count),Car Block (count),Car Warmer (count),Water Cooler (presence),Fish Tank (count),Bath. Exh. Fan (count),Kitch. Exh. Fan (presence),Central Air Filter (presence),Central Humidifi. (presence),Central Dehumidif. (presence),Central Air Exch. (presence),HRV (presence),Central Vacuum (presence),Sump Pump (presence),Water Softener (presence),Jacuzzi (presence),Sauna (presence),Ceiling Fan (count),Portable Fan (count),Central A/C (hr/yr),Window A/C (hr/yr),Halogen (count),Fluorescent (count),Incandescent (count),HDD (C-day),CDD (C-day),Area (heated; m^2),"Income ($1,000/yr)",Dwelling Type (0=DR;1=SD),Ownership (1=owner),Population (<=15k;15k-100k;>=100k),No. of Children (count),No. of Adults (count),Employment Ratio (adults_employed/adults)
31,2410A00045.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,207.03,85,1,1,2,2,2,1
32,2452A00071.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,182.69,85,1,1,2,2,2,1
33,2411A00079.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,285.24,85,1,1,2,2,2,1
34,2408A00138.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,213.4,85,1,1,2,2,2,1
35,2410A00046.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,188.78,85,1,1,2,2,2,1
36,2802A00095.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,2981.3,0.9,153.3,85,1,1,2,2,2,1
37,2432A00411.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,154.78,85,1,1,2,2,2,1
38,2517A00008.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,271.27,85,1,1,2,2,2,1
39,2512A00036.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,255.65,85,1,1,2,2,2,1
40,2436A00030.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,223.11,85,1,1,2,2,2,1
