*data,PRINCE GEORGE,BC,BRITISH COLUMBIA,54.1,-122.7,5132,0,can_prince_george.cwec,PRINCE GEORGE,BC,BRITISH COLUMBIA,2000,53.88,-2.68,0,54.1,-122.7,5132,0,PRINCE GEORGE,BRITISH COLUMBIA,6.2,9.6,0.286,0,0,0,0,1
*data,PRINCE RUPERT,BC,BRITISH COLUMBIA,54.3,-130.4,3966.7,0,can_prince_rupert.cwec,PRINCE RUPERT,BC,BRITISH COLUMBIA,2000,54.3,-10.43,0,54.3,-130.4,3966.7,0,KAMLOOPS,BRITISH COLUMBIA,10.3,13.1,0.246,0,0,0,0,1
*data,SALT SPRING ISLAND,BC,BRITISH COLUMBIA,48.8,-123.5,3317.9,0.1,can_victoria.cwec,VICTORIA,BC,BRITISH COLUMBIA,2000,48.65,-3.43,0,48.6,-123.4,3040.8,0,VICTORIA,BRITISH COLUMBIA,11.8,8.2,0.351,0.2,0,277.1,0.1,1.09
*data,SMITHERS,BC,BRITISH COLUMBIA,54.8,-127.2,5134.7,0,can_prince_george.cwec,PRINCE GEORGE,BC,BRITISH COLUMBIA,2000,53.88,-2.68,0,54.1,-122.7,5132,0,PRINCE GEORGE,BRITISH COLUMBIA,6.2,9.6,0.286,0.8,-4.4,2.7,0,1
*data,SUMMERLAND,BC,BRITISH COLUMBIA,49.6,-119.7,3524.6,18.4,can_summerland.cwec,SUMMERLAND,BC,BRITISH COLUMBIA,2000,49,0.61,0,49.6,-119.7,3524.6,18.4,KAMLOOPS,BRITISH COLUMBIA,10.3,13.1,0.246,0,0,0,0,1
*data,TERRACE,BC,BRITISH COLUMBIA,54.5,-128.6,4307.3,1.1,can_kamloops.cwec,KAMLOOPS,BC,BRITISH COLUMBIA,2000,50.7,-0.45,0,50.7,-120.4,3570.8,19.5,KAMLOOPS,BRITISH COLUMBIA,10.3,13.1,0.246,3.8,-8.1,736.5,-18.4,1.21
*data,TOFINO,BC,BRITISH COLUMBIA,49.1,-125.8,3236.1,0,can_victoria.cwec,VICTORIA,BC,BRITISH COLUMBIA,2000,48.65,-3.43,0,48.6,-123.4,3040.8,0,VICTORIA,BRITISH COLUMBIA,11.8,8.2,0.351,0.4,-2.3,195.3,0,1.06
*data,VANCOUVER,BC,BRITISH COLUMBIA,49.2,-123.2,2926.5,0.1,can_vancouver.cwec,VANCOUVER,BC,BRITISH COLUMBIA,1997,49.18,3.17,0,49.2,-123.2,2926.5,0.1,VANCOUVER,BRITISH COLUMBIA,11.3,9.0,0.336,0,0,0,0,1
*data,VICTORIA,BC,BRITISH COLUMBIA,48.6,-123.4,3040.8,0,can_victoria.cwec,VICTORIA,BC,BRITISH COLUMBIA,2000,48.65,-3.43,0,48.6,-123.4,3040.8,0,VICTORIA,BRITISH COLUMBIA,11.8,8.2,0.351,0,0,0,0,1
*data,WILLIAMS LAKE,BC,BRITISH COLUMBIA,52.2,-122.1,5073.1,0.2,can_prince_george.cwec,PRINCE GEORGE,BC,BRITISH COLUMBIA,2000,53.88,-2.68,0,54.1,-122.7,5132,0,PRINCE GEORGE,BRITISH COLUMBIA,6.2,9.6,0.286,-1.9,0.7,-58.9,0.2,0.99
*data,BRANDON,MB,MANITOBA,49.9,-100,5950.7,4,can_winnipeg.cwec,WINNIPEG,MB,MANITOBA,1997,49.9,7.23,0,49.9,-97.2,5777.5,10.8,WINNIPEG,MANITOBA,6.1,15.2,0.383,0,-2.7,173.2,-6.8,1.03
*data,CHURCHILL,MB,MANITOBA,58.7,-94.1,9068.4,0.6,can_churchill.cwec,CHURCHILL,MB,MANITOBA,2000,58.75,-4.07,0,58.7,-94.1,9068.4,0.6,THOMPSON,MANITOBA,2.7,12.4,0.395,0,0,0,0,1
*data,DAUPHIN,MB,MANITOBA,51.1,-100.1,5939.6,5.6,can_winnipeg.cwec,WINNIPEG,MB,MANITOBA,1997,49.9,7.23,0,49.9,-97.2,5777.5,10.8,WINNIPEG,MANITOBA,6.1,15.2,0.383,1.2,-2.8,162.1,-5.2,1.03
*data,PORTAGE LA PRAIRIE,MB,MANITOBA,50,-98.3,5753.4,8,can_winnipeg.cwec,WINNIPEG,MB,MANITOBA,1997,49.9,7.23,0,49.9,-97.2,5777.5,10.8,WINNIPEG,MANITOBA,6.1,15.2,0.383,0.1,-1.1,-24.1,-2.8,1
*data,THE PAS,MB,MANITOBA,54,-101.1,6598.1,2.3,can_le_pas.cwec,LE PAS,MB,MANITOBA,2000,53.97,-11.1,0,54,-101.1,6598.1,2.3,WINNIPEG,MANITOBA,6.1,15.2,0.383,0,0,0,0,1
*data,LE PAS,MB,MANITOBA,54,-101.1,6598.1,2.3,can_le_pas.cwec,LE PAS,MB,MANITOBA,2000,53.97,-11.1,0,54,-101.1,6598.1,2.3,WINNIPEG,MANITOBA,6.1,15.2,0.383,0,0,0,0,1
*data,THOMPSON,MB,MANITOBA,55.8,-97.9,7743.2,1.1,can_churchill.cwec,CHURCHILL,MB,MANITOBA,2000,58.75,-4.07,0,58.7,-94.1,9068.4,0.6,THOMPSON,MANITOBA,2.7,12.4,0.395,-2.9,-3.8,-1325.2,0.5,0.85
*data,WINNIPEG,MB,MANITOBA,49.9,-97.2,5777.5,10.8,can_winnipeg.cwec,WINNIPEG,MB,MANITOBA,1997,49.9,7.23,0,49.9,-97.2,5777.5,10.8,WINNIPEG,MANITOBA,6.1,15.2,0.383,0,0,0,0,1
*data,CHATHAM,NB,NEW BRUNSWICK,,,,,can_saintjohn.cwec,SAINT JOHN,NB,NEW BRUNSWICK,2000,45.32,-5.88,0,45.3,-65.9,4754.5,0.2,SAINT JOHN,NEW BRUNSWICK,7.7,10.5,0.492,,,,,
*data,EDMUNSTON,NB,NEW BRUNSWICK,,,,,can_fredericton.cwec,FREDERICTON,NB,NEW BRUNSWICK,2000,45.87,-6.53,0,45.9,-66.5,4750.7,4.3,FREDERICTON,NEW BRUNSWICK,7.7,12.5,0.415,,,,,
*data,FREDERICTON,NB,NEW BRUNSWICK,45.9,-66.5,4750.7,4.3,can_fredericton.cwec,FREDERICTON,NB,NEW BRUNSWICK,2000,45.87,-6.53,0,45.9,-66.5,4750.7,4.3,FREDERICTON,NEW BRUNSWICK,7.7,12.5,0.415,0,0,0,0,1
*data,MONCTON,NB,NEW BRUNSWICK,46.1,-64.7,4805.6,0.7,can_fredericton.cwec,FREDERICTON,NB,NEW BRUNSWICK,2000,45.87,-6.53,0,45.9,-66.5,4750.7,4.3,FREDERICTON,NEW BRUNSWICK,7.7,12.5,0.415,0.2,1.8,54.9,-3.6,1.01
*data,SAINT JOHN,NB,NEW BRUNSWICK,45.3,-65.9,4754.5,0.2,can_saintjohn.cwec,SAINT JOHN,NB,NEW BRUNSWICK,2000,45.32,-5.88,0,45.3,-65.9,4754.5,0.2,SAINT JOHN,NEW BRUNSWICK,7.7,10.5,0.492,0,0,0,0,1
*data,BATTLE HARBOUR,NL,NEWFOUNDLAND,,,,,can_stjohns.cwec,ST. JOHN'S,NL,NEWFOUNDLAND,2000,47.62,7.27,0,47.6,-52.7,4881.5,0,SAINT JOHN'S,NEWFOUNDLAND,6.7,8.0,0.648,,,,,
*data,BONAVISTA,NL,NEWFOUNDLAND,48.7,-53.1,5008.4,0,can_stjohns.cwec,ST. JOHN'S,NL,NEWFOUNDLAND,2000,47.62,7.27,0,47.6,-52.7,4881.5,0,SAINT JOHN'S,NEWFOUNDLAND,6.7,8.0,0.648,1.1,-0.4,126.9,0,1.03
*data,CARTWRIGHT,NL,NEWFOUNDLAND,53.7,-57,6748.9,0.2,can_stjohns.cwec,ST. JOHN'S,NL,NEWFOUNDLAND,2000,47.62,7.27,0,47.6,-52.7,4881.5,0,SAINT JOHN'S,NEWFOUNDLAND,6.7,8.0,0.648,6.1,-4.3,1867.4,0.2,1.38
*data,CORNER BROOK,NL,NEWFOUNDLAND,49,-58,4765.6,0.6,can_stephenville.cwec,STEPHENVILLE,NL,NEWFOUNDLAND,2000,48.53,1.45,0,48.5,-58.6,4899.4,0,SAINT JOHN'S,NEWFOUNDLAND,6.7,8.0,0.648,0.4,0.6,-133.8,0.6,0.97
*data,GANDER,NL,NEWFOUNDLAND,48.9,-54.6,5197.6,0.2,can_stjohns.cwec,ST. JOHN'S,NL,NEWFOUNDLAND,2000,47.62,7.27,0,47.6,-52.7,4881.5,0,SAINT JOHN'S,NEWFOUNDLAND,6.7,8.0,0.648,1.3,-1.8,316.1,0.2,1.06
*data,GOOSE BAY,NL,NEWFOUNDLAND,53.3,-60.4,6786.5,1.8,can_goosebay.cwec,GOOSE BAY,NL,NEWFOUNDLAND,2000,53.32,-0.42,0,53.3,-60.4,6786.5,1.8,GOOSE BAY,NEWFOUNDLAND,4.9,10.4,0.489,0,0,0,0,1
