*title,can_gen_high_Y1,,,,,,,,
*note,Each row corresponds to 5 minutes. The first row starts Jan 1 12:00,,,,,,,,
*header,Lights,Refrigerator,Stove,Dishwasher,Washer,Dryer,Freezer,Other_appliances,
*data,820,0,0,0,0,0,0,962,1782
*data,820,0,0,0,0,0,0,962,1782
*data,820,0,0,0,0,0,0,962,1782
*data,0,80,0,0,0,0,0,962,1042
*data,0,251,1600,0,0,0,0,962,2813
*data,0,242,1600,0,0,0,79,62,1983
*data,0,242,1600,0,0,0,249,62,2153
*data,0,314,1600,0,0,0,240,62,2216
*data,0,411,1600,0,0,0,240,62,2313
*data,0,242,1600,0,0,0,232,62,2136
*data,400,242,1600,0,0,0,159,62,2463
*data,400,234,1600,0,0,0,0,62,2296
*data,400,160,1600,0,0,0,0,62,2222
*data,400,0,1600,0,0,0,0,162,2162
*data,400,0,1600,0,0,0,0,162,2162
*data,400,0,1600,0,0,0,0,162,2162
*data,400,0,0,0,0,0,0,162,562
*data,640,80,0,0,0,0,0,162,882
*data,240,251,0,0,0,0,0,162,653
*data,480,242,0,0,0,0,79,162,963
*data,240,242,0,0,0,0,249,162,893
*data,240,970,0,0,0,0,240,162,1612
*data,240,330,0,0,0,0,240,62,873
*data,240,242,0,0,0,0,232,62,776
*data,120,242,0,0,0,0,159,62,583
*data,120,234,0,0,0,0,0,62,416
*data,120,160,0,0,0,0,0,62,342
*data,240,80,0,0,0,0,0,62,382
*data,240,251,0,0,0,0,0,62,553
*data,240,259,0,0,0,0,0,62,561
*data,240,251,0,0,0,0,0,62,553
*data,440,242,0,0,0,0,0,62,744
*data,440,242,0,0,0,0,0,62,744
*data,640,234,0,0,0,0,79,62,1015
*data,1040,242,0,0,0,0,249,62,1593
*data,1040,314,0,0,0,0,240,62,1656
*data,1040,451,0,0,0,0,240,312,2044
*data,720,322,0,0,0,0,232,312,1586
*data,1120,242,0,0,0,0,159,312,1833
*data,1000,234,0,0,0,0,0,312,1546
*data,1000,160,0,0,0,0,0,312,1472
*data,1000,0,0,0,0,0,0,312,1312
*data,1820,0,0,0,0,0,0,412,2232
*data,1820,0,0,0,0,0,0,412,2232
*data,1820,0,0,0,0,0,0,1312,3132
*data,600,80,0,0,0,0,0,1312,1992
*data,840,251,0,0,0,0,0,1312,2403
*data,840,242,0,0,0,0,79,1312,2473
*data,1040,242,0,0,0,0,249,1312,2843
*data,1440,314,0,0,0,0,240,1312,3306
*data,1440,411,0,0,0,0,240,1312,3403
*data,1440,242,0,0,0,0,232,962,2876
*data,1440,242,0,0,0,0,159,962,2803
*data,1440,234,0,0,0,0,0,962,2636
*data,1440,160,0,0,0,0,0,962,2562
*data,1240,0,0,0,0,0,0,962,2202
*data,1240,0,0,0,0,0,0,962,2202
*data,1640,0,0,0,0,0,0,962,2602
*data,840,0,0,0,0,0,0,962,1802
*data,640,80,1600,0,0,0,0,962,3282
*data,640,251,1600,0,0,0,0,962,3453
*data,640,242,1600,0,0,0,79,962,3523
*data,640,242,1600,0,0,0,249,962,3693
*data,400,314,0,0,0,0,240,1212,2166
*data,800,411,0,0,0,0,240,1212,2663
*data,800,242,0,0,0,0,883,1212,3138
*data,800,242,0,0,0,0,79,1212,2333
*data,920,234,0,0,0,0,0,62,1216
*data,920,160,0,0,0,0,0,62,1142
*data,920,0,0,0,505,0,0,62,1487
*data,1160,0,0,0,505,0,0,62,1727
*data,760,0,0,0,505,0,79,62,1406
*data,640,0,0,0,0,0,249,62,951
*data,640,80,0,0,0,0,257,92,1069
*data,640,251,0,0,505,0,249,122,1766
*data,240,242,0,0,505,0,240,122,1350
*data,1060,242,0,0,505,0,240,122,2170
*data,1060,314,0,0,0,0,232,122,1728
*data,1060,411,0,0,0,0,240,122,1833
*data,820,242,0,0,0,0,232,122,1416
*data,820,242,0,0,0,0,199,122,1384
*data,820,234,0,0,0,0,79,122,1255
*data,820,160,0,0,0,0,0,122,1102
*data,820,0,0,0,0,0,0,122,942
*data,820,0,0,0,0,4115,0,122,5057
*data,820,0,0,0,0,4115,0,122,5057
*data,820,0,0,0,0,4115,0,122,5057
*data,820,80,0,0,0,4115,0,122,5137
*data,820,251,0,0,0,4115,0,122,5308
*data,820,242,0,0,0,4115,79,122,5378
*data,820,242,0,0,0,4115,249,92,5518
*data,820,314,0,0,0,4115,240,92,5581
*data,820,411,0,0,0,4115,240,62,5648
*data,820,242,0,0,0,4115,232,62,5471
*data,820,242,0,0,0,4115,159,62,5398
*data,820,234,0,0,0,0,0,62,1116
*data,820,160,0,0,0,0,0,62,1042
*data,820,0,0,0,0,0,0,62,882
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,400,0,0,0,0,0,0,62,462
*data,400,80,0,0,0,0,0,62,542
*data,1220,251,0,0,0,0,0,62,1533
*data,1220,242,0,0,0,0,79,62,1603
*data,1220,242,0,0,0,0,249,62,1773
*data,1220,314,0,0,0,0,240,62,1836
*data,1220,411,0,0,0,0,240,62,1933
*data,1220,242,0,0,0,0,232,62,1756
*data,1220,242,0,0,0,0,159,62,1683
*data,1220,234,0,0,0,0,0,62,1516
*data,1220,160,0,0,0,0,0,62,1442
*data,1220,0,0,0,0,0,0,62,1282
*data,1220,0,0,0,0,0,0,62,1282
*data,1220,0,0,0,0,0,0,62,1282
*data,1220,0,0,0,0,0,0,62,1282
*data,1220,80,0,0,0,0,0,62,1362
*data,0,251,0,0,0,0,0,62,313
*data,200,322,0,0,0,0,0,142,664
*data,200,484,0,0,0,0,0,142,826
*data,200,402,0,0,0,0,0,142,744
*data,200,242,0,0,0,0,79,172,693
*data,200,234,0,0,0,0,249,172,855
*data,200,160,0,0,0,0,240,132,732
*data,200,0,0,0,0,0,240,132,572
*data,200,0,0,0,0,0,232,132,564
*data,200,0,0,0,0,0,159,132,491
*data,200,0,0,0,0,0,0,132,332
*data,200,0,0,0,0,0,0,132,332
*data,200,80,0,0,0,0,0,212,492
*data,200,251,0,0,0,0,0,212,663
*data,0,242,0,0,0,0,0,212,454
*data,120,322,0,0,0,0,0,212,654
*data,120,484,0,0,0,0,0,217,821
*data,120,402,0,0,0,0,0,217,739
*data,120,242,0,0,0,0,79,217,658
*data,120,234,0,0,0,0,249,217,820
*data,120,160,0,0,0,0,240,217,737
*data,120,0,0,0,0,0,240,187,547
*data,120,0,0,0,0,0,232,187,539
*data,120,0,0,0,0,0,159,67,346
*data,120,0,0,0,0,0,0,67,187
*data,120,0,0,0,0,0,0,67,187
*data,120,80,0,0,0,0,0,67,267
*data,120,251,0,0,0,0,0,67,438
*data,120,242,0,0,0,0,0,67,429
*data,120,322,0,0,0,0,0,167,609
*data,120,484,0,0,0,0,0,167,771
*data,120,402,0,0,0,0,0,167,689
*data,120,242,0,0,0,0,79,162,603
*data,120,234,0,0,0,0,249,162,765
*data,120,160,0,0,0,0,240,162,682
*data,120,0,0,0,0,0,240,162,522
*data,120,0,0,0,0,0,232,162,514
*data,0,0,0,0,0,0,159,162,321
*data,0,0,0,0,0,0,0,162,162
*data,0,0,0,0,0,0,0,162,162
*data,0,80,0,0,0,0,0,162,242
*data,0,251,0,0,0,0,0,62,313
*data,0,242,0,0,0,0,0,62,304
*data,0,322,0,0,0,0,0,62,384
*data,0,484,0,0,0,0,0,62,546
*data,820,402,0,0,0,0,0,62,1284
*data,820,242,0,0,0,0,79,1562,2703
*data,1020,234,0,0,0,0,249,1562,3065
*data,1020,160,0,0,0,0,240,1562,2982
*data,1020,0,0,0,0,0,240,1562,2822
*data,1020,0,0,0,0,0,232,1562,2814
*data,200,0,0,0,0,0,159,1562,1921
*data,200,0,0,0,0,0,0,1592,1792
*data,200,0,0,0,0,0,0,1592,1792
*data,0,80,0,0,0,0,0,1592,1672
*data,0,251,0,0,0,0,0,1592,1843
*data,0,242,0,0,0,0,0,1592,1834
*data,0,322,0,0,0,0,0,1592,1914
*data,0,484,0,0,0,0,0,1592,2076
*data,0,402,0,0,0,0,0,1592,1994
*data,0,242,0,0,0,0,79,1562,1883
*data,0,234,0,0,0,0,249,1562,2045
*data,0,160,0,0,0,0,240,1562,1962
*data,0,0,0,0,0,0,240,1562,1802
*data,0,0,0,0,0,0,232,1562,1794
*data,0,0,0,0,0,0,159,1562,1721
*data,0,0,0,0,0,0,0,1742,1742
*data,0,0,0,0,0,0,0,1742,1742
*data,0,80,0,0,0,0,0,1742,1822
*data,0,251,0,0,0,0,0,1742,1993
*data,0,242,0,0,0,0,0,242,484
*data,0,322,0,0,0,0,0,242,564
*data,120,1141,0,0,0,0,0,242,1503
*data,120,322,0,0,0,0,0,242,684
*data,120,242,0,0,0,0,79,242,683
*data,120,234,0,0,0,0,249,242,845
*data,120,160,0,0,0,0,240,62,582
*data,120,0,0,0,0,0,240,62,422
*data,0,80,0,0,0,0,232,62,374
*data,0,251,0,0,0,0,159,62,471
*data,0,259,0,0,0,0,0,62,321
*data,0,251,0,0,0,0,0,62,313
*data,0,242,0,0,0,0,0,62,304
*data,0,242,0,0,0,0,0,62,304
*data,0,234,0,0,0,0,0,62,296
*data,0,322,0,0,0,0,0,62,384
*data,0,484,0,0,0,0,0,62,546
*data,0,443,0,0,0,0,0,62,505
*data,0,322,0,0,0,0,79,312,713
*data,0,234,0,0,0,0,249,312,795
*data,0,160,0,0,0,0,240,312,712
*data,0,0,0,0,0,0,240,312,552
*data,0,0,0,0,0,0,232,312,544
*data,0,0,0,0,0,0,159,312,471
*data,0,0,0,0,0,0,0,312,312
*data,0,0,0,0,0,0,0,312,312
*data,0,80,0,0,0,0,0,312,392
*data,0,251,0,0,0,0,0,312,563
*data,0,242,0,0,0,0,0,312,554
*data,0,322,0,0,0,0,0,312,634
*data,0,484,0,0,0,0,0,312,796
*data,0,402,0,0,0,0,0,312,714
*data,0,242,0,0,0,0,79,62,383
*data,0,234,0,0,0,0,249,62,545
*data,0,160,0,0,0,0,240,62,462
*data,0,0,0,0,0,0,240,62,302
*data,0,0,0,0,0,0,232,62,294
*data,0,0,0,0,505,0,159,62,726
*data,0,0,0,0,505,0,0,62,567
*data,0,0,0,0,505,0,0,62,567
*data,0,80,0,0,0,0,0,62,142
*data,0,251,0,0,0,0,0,62,313
*data,0,242,0,0,505,0,0,62,809
*data,200,322,0,0,505,0,0,62,1089
*data,200,484,0,0,505,0,0,62,1251
*data,200,402,0,0,0,0,0,62,664
*data,200,242,0,0,0,0,79,62,583
*data,200,234,0,0,0,0,249,62,745
*data,200,160,0,0,0,0,240,62,662
*data,200,0,0,0,0,0,240,62,502
*data,200,0,0,0,0,0,883,62,1145
*data,200,0,0,0,0,0,79,92,371
*data,200,0,0,0,0,0,0,92,292
*data,200,0,0,0,0,0,0,92,292
*data,0,80,0,0,0,0,0,97,177
*data,0,251,0,0,0,0,0,97,348
*data,0,242,0,0,0,0,79,97,418
*data,0,322,0,0,0,4115,249,92,4778
*data,0,484,0,0,0,4115,257,92,4948
*data,240,402,0,0,0,4115,249,92,5098
*data,240,242,0,0,0,4115,240,62,4900
*data,240,234,0,0,0,4115,240,62,4891
*data,0,160,0,0,0,4115,232,62,4569
*data,0,0,0,0,0,4115,240,62,4417
*data,0,0,0,0,0,0,232,62,294
*data,240,0,0,0,0,4115,199,62,4616
*data,240,0,0,0,0,4115,79,62,4496
*data,240,0,0,0,0,4115,0,62,4417
*data,240,80,0,0,0,4115,0,62,4497
*data,240,251,0,0,0,4115,0,62,4668
*data,240,242,0,0,0,4115,0,62,4659
*data,240,322,0,0,0,4115,0,62,4739
*data,240,484,0,0,0,4115,0,62,4901
*data,240,402,0,0,0,0,0,62,704
*data,240,242,0,0,0,0,79,62,623
*data,240,234,0,0,0,0,249,62,785
*data,240,160,0,0,0,0,240,62,702
*data,240,0,0,0,0,0,240,62,542
*data,240,0,0,0,0,0,232,62,534
*data,240,0,0,0,0,0,159,62,461
*data,240,0,0,0,0,0,0,62,302
*data,240,0,0,0,0,0,0,62,302
*data,240,80,0,0,0,0,0,62,382
*data,240,251,0,0,0,0,0,62,553
*data,240,242,0,0,0,0,0,62,544
*data,0,322,0,0,0,0,0,62,384
*data,0,484,0,0,0,0,0,62,546
*data,0,402,0,0,0,0,0,62,464
*data,0,242,0,0,0,0,79,62,383
*data,0,234,0,0,0,0,249,62,545
*data,0,160,0,0,0,0,240,62,462
*data,400,0,0,0,0,0,240,62,702
*data,400,0,0,0,0,0,232,62,694
*data,400,0,0,0,0,0,159,62,621
*data,1220,0,0,0,0,0,0,62,1282
*data,1220,0,0,0,0,0,0,62,1282
*data,1220,80,0,467,0,0,0,62,1829
*data,1220,251,0,467,0,0,0,62,2000
*data,1220,242,0,467,505,0,0,162,2596
*data,1220,322,0,467,505,0,0,162,2676
*data,1220,484,0,467,505,0,0,262,2938
*data,1460,402,0,467,0,0,0,262,2591
*data,1460,242,0,467,0,0,79,262,2510
*data,1460,234,0,0,505,0,249,262,2710
*data,1460,160,0,0,505,0,240,262,2627
*data,1460,0,0,0,505,0,240,262,2467
*data,1460,0,0,0,0,0,232,262,1954
*data,1460,0,1600,0,0,0,159,262,3481
*data,1460,0,1600,0,0,0,0,262,3322
*data,1460,0,1600,0,0,0,0,262,3322
*data,1460,80,1600,0,0,0,0,262,3402
*data,1460,251,1600,0,0,0,0,162,3473
*data,1460,242,1600,0,0,0,0,162,3464
*data,640,322,0,0,0,0,0,162,1124
*data,640,484,0,0,0,0,0,162,1286
*data,0,402,0,0,0,0,0,162,564
*data,120,242,0,0,0,0,79,162,603
*data,120,234,0,0,0,0,249,162,765
*data,120,160,0,0,0,0,240,162,682
*data,360,0,0,0,0,0,240,1162,1762
*data,360,0,0,0,0,0,232,1162,1754
*data,360,0,0,0,0,0,159,1162,1681
*data,120,0,0,0,0,0,0,1062,1182
*data,120,0,0,0,0,4115,0,1062,5297
*data,120,80,0,0,0,4115,0,1182,5497
*data,120,251,0,0,0,4115,0,1182,5668
*data,120,242,0,0,0,4115,0,1182,5659
*data,120,322,0,0,0,4115,0,182,4739
*data,120,484,0,0,0,4115,0,182,4901
*data,520,402,0,0,0,4115,0,182,5219
*data,520,242,0,0,0,0,79,182,1023
*data,520,234,0,0,0,0,249,182,1185
*data,600,160,0,0,0,0,240,182,1182
*data,600,0,0,0,0,0,240,182,1022
*data,840,0,0,0,0,0,232,182,1254
*data,840,0,0,0,0,0,159,182,1181
*data,840,0,0,0,0,0,0,432,1272
*data,600,0,0,0,0,0,0,432,1032
*data,600,80,0,0,0,0,0,552,1232
*data,600,251,0,0,0,0,0,302,1153
*data,840,242,0,0,0,0,0,302,1384
*data,640,322,0,0,0,0,0,302,1264
*data,1040,484,0,0,0,0,0,302,1826
*data,1040,402,1600,0,0,0,0,302,3344
*data,1240,242,1600,0,0,0,79,302,3463
*data,1240,890,1600,0,0,0,249,302,4281
*data,1240,80,1600,0,0,0,240,182,3342
*data,1360,0,1600,0,0,0,240,182,3382
*data,960,0,1600,0,0,0,232,182,2974
*data,960,0,0,0,0,0,159,1682,2801
*data,1080,0,0,0,0,0,0,182,1262
*data,1480,80,0,0,0,0,0,212,1772
*data,2300,330,0,0,0,0,0,242,2872
*data,2300,510,0,0,0,0,0,242,3052
*data,2540,493,0,0,0,0,0,122,3155
*data,2540,484,0,0,0,0,0,122,3146
*data,2540,476,0,0,0,0,0,122,3138
*data,2540,394,0,0,0,0,0,122,3056
*data,2740,242,0,0,0,0,79,122,3183
*data,2740,234,0,0,0,0,249,122,3345
*data,2740,201,0,0,0,0,240,122,3303
*data,2740,80,0,0,0,0,240,92,3152
*data,2100,0,0,0,0,0,232,92,2424
*data,2300,0,0,0,0,0,159,92,2551
*data,2220,0,0,0,0,0,0,62,2282
*data,2060,0,0,0,0,0,0,62,2122
*data,1940,80,0,0,0,0,0,62,2082
*data,640,251,0,0,0,0,0,962,1853
*data,640,242,0,0,505,0,0,962,2349
*data,640,322,0,0,505,0,0,962,2429
*data,520,484,0,0,505,0,0,962,2471
*data,520,402,0,0,0,0,0,962,1884
*data,520,242,0,0,0,0,79,962,1803
*data,400,234,0,0,505,0,249,962,2350
*data,440,160,0,0,505,0,240,1142,2487
*data,680,0,0,0,505,0,240,1142,2567
*data,1080,0,0,0,0,0,232,1142,2454
*data,1900,0,0,0,0,0,159,1142,3201
*data,2100,0,0,0,0,0,0,1142,3242
*data,1900,0,0,0,0,0,0,1142,3042
*data,2020,80,0,0,0,0,0,1142,3242
*data,2260,251,0,0,0,0,0,1142,3653
*data,2260,242,0,0,0,4115,0,242,6859
*data,2260,322,0,0,0,4115,0,242,6939
*data,2140,484,0,0,0,4115,0,242,6981
*data,2260,402,0,0,0,4115,0,342,7119
*data,2260,242,0,0,0,4115,79,342,7038
*data,1200,234,0,0,0,4115,249,342,6140
*data,1200,160,0,0,0,4115,240,342,6057
*data,1200,0,0,0,0,4115,240,342,5897
*data,1200,0,0,0,0,4115,232,342,5889
*data,1200,0,0,0,0,4115,159,342,5816
*data,1200,0,0,0,0,4115,0,342,5657
*data,1200,0,0,0,0,0,0,342,1542
*data,960,80,0,0,0,4115,0,342,5497
*data,960,251,0,0,0,4115,0,342,5668
*data,760,242,0,0,0,4115,0,342,5459
*data,760,322,0,0,0,4115,0,462,5659
*data,360,484,0,0,0,4115,0,282,5241
*data,360,402,0,0,0,4115,0,282,5159
*data,120,242,0,0,0,4115,79,282,4838
*data,0,234,0,0,0,4115,249,162,4760
*data,0,160,0,0,0,4115,240,162,4677
*data,0,0,0,0,0,4115,240,162,4517
*data,0,0,0,0,0,4115,232,162,4509
*data,0,0,0,0,0,0,159,162,321
*data,0,0,0,0,0,0,0,162,162
*data,0,0,0,0,0,0,0,162,162
*data,0,80,0,0,0,0,0,162,242
*data,0,251,0,0,0,0,0,62,313
*data,0,242,0,0,0,0,0,62,304
*data,0,322,0,0,0,0,0,62,384
*data,0,484,0,0,0,0,0,62,546
*data,0,402,0,0,0,0,0,312,714
*data,0,242,0,0,0,0,79,312,633
*data,0,234,0,0,0,0,249,312,795
*data,0,160,0,0,0,0,240,312,712
*data,0,0,0,0,0,0,240,312,552
*data,0,0,0,0,0,0,232,432,664
*data,0,234,0,0,0,0,0,62,296
*data,0,160,0,0,0,0,0,62,222
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,79,62,141
*data,0,80,0,0,0,0,249,62,390
*data,0,251,0,0,0,0,240,62,553
*data,0,242,0,0,0,0,240,62,545
*data,0,242,0,0,0,0,232,62,536
*data,0,970,0,0,0,0,159,62,1191
*data,0,330,0,0,0,0,0,62,392
*data,0,242,0,0,0,0,0,62,304
*data,0,242,0,0,0,0,0,62,304
*data,0,234,0,0,0,0,0,62,296
*data,0,160,0,0,0,0,0,62,222
*data,0,80,0,0,0,0,0,62,142
*data,0,251,0,0,0,0,0,62,313
*data,0,259,0,0,0,0,0,62,321
*data,0,251,0,0,0,0,79,62,392
*data,0,242,0,0,0,0,249,62,553
*data,0,242,0,0,0,0,240,62,545
*data,0,234,0,0,0,0,240,62,536
*data,0,242,0,0,0,0,232,67,541
*data,0,314,0,0,0,0,159,67,539
*data,0,451,0,0,0,0,0,67,518
*data,0,322,0,0,0,0,0,67,389
*data,0,242,0,0,0,0,0,67,309
*data,0,234,0,0,0,0,0,67,301
*data,0,160,0,0,0,0,0,67,227
*data,0,0,0,0,0,0,0,67,67
*data,0,0,0,0,0,0,0,67,67
*data,0,0,0,0,0,0,0,67,67
*data,0,0,0,0,0,0,79,67,146
*data,0,80,0,0,0,0,249,167,495
*data,0,251,0,0,0,0,240,167,658
*data,0,242,0,0,0,0,240,167,650
*data,0,242,0,0,0,0,232,167,641
*data,0,314,0,0,0,0,159,347,819
*data,0,411,0,0,0,0,0,347,758
*data,0,242,0,0,0,0,0,342,584
*data,0,242,0,0,0,0,0,242,484
*data,0,234,0,0,0,0,0,242,476
*data,0,160,0,0,0,0,0,242,402
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,79,242,321
*data,0,80,0,0,0,0,249,242,570
*data,0,251,0,0,0,0,240,242,733
*data,0,242,0,0,0,0,240,242,725
