*info,Geographic name,"Incompletely enumerated Indian reserves and Indian settlements, 2006","Population, 2006","Total private dwellings, 2006","Private dwellings occupied by usual residents, 2006"
*info,Canada,T,31612897,13576855,12435520
*note,THIS FILE HAS BEEN TAGGED BY LUKAS SWAN.,,,,
*note,I WILL USE THIS FILE BY DIVIDING THE VALUES BY LAND AREA TO ACHIEVE AN URBAN/RURAL ESTIMATION,,,,
*note,FSA stands for Forward Sortation Area and is included in the CSDDRD,,,,
*header,FSA,incomplete,population,dwellings_total,dwellings_occupied
*units,-,-,count,count,count
*data,P9N,,14184,7146,5750
*data,R0A,,33918,12200,11136
*data,R0B,,40753,12170,10216
*data,R0C,,50899,26545,19105
*data,R0E,,41270,26779,15732
*data,R0G,,40281,15091,14277
*data,R0H,,15371,4868,4515
*data,R0J,,26274,14287,10955
*data,R0K,,26387,11781,10082
*data,R0L,,28498,13402,11366
*data,R0M,,19918,9036,7990
*data,R1A,,19957,7644,7436
*data,R1B,,81,53,43
*data,R1N,,16541,6924,6431
*data,R2C,,31157,11857,11723
*data,R2E,,8750,2966,2923
*data,R2G,,32939,14240,14061
*data,R2H,,15329,7773,7496
*data,R2J,,24789,9813,9651
*data,R2K,,32498,13559,13330
*data,R2L,,14458,6500,6241
*data,R2M,,37302,16857,16546
*data,R2N,,24493,8889,8780
*data,R2P,,24697,8305,8151
*data,R2R,,18231,5727,5581
*data,R2V,,30423,12851,12590
*data,R2W,,27743,11935,10996
*data,R2X,,16144,6631,6363
*data,R2Y,,19852,8560,8396
*data,R3A,,4178,1816,1575
*data,R3B,,11978,5900,5484
*data,R3C,,17223,9986,9204
*data,R3E,,18473,7529,7109
*data,R3G,,24489,10855,10277
*data,R3H,,109,39,36
*data,R3J,,26938,12739,12359
*data,R3K,,11985,5167,5071
*data,R3L,,20242,11428,10968
*data,R3M,,22068,10782,10419
*data,R3N,,16405,7446,7147
*data,R3P,,18052,6929,6734
*data,R3R,,25790,9937,9815
*data,R3S,,417,138,138
*data,R3T,,43577,18131,17698
*data,R3V,,5924,2190,2160
*data,R3W,,4405,1571,1559
*data,R3X,,10198,3384,3330
*data,R3Y,,8890,2753,2713
*data,R4A,,3241,1088,1065
*data,R4H,,1861,437,433
*data,R4J,,851,291,285
*data,R4K,,995,258,254
*data,R4L,,971,357,349
*data,R5A,,2651,901,890
*data,R5G,,16520,5914,5745
*data,R5H,,5332,1866,1805
*data,R6M,,8099,3240,3139
*data,R6W,,14088,4571,4460
*data,R7A,,25313,11285,10770
*data,R7B,,19113,8243,8013
*data,R7C,,1048,541,510
*data,R7N,,9855,4734,4388
*data,R8A,,6055,2958,2581
*data,R8N,,13824,5430,4979
*data,R9A,,8290,3647,3192
*data,S0A,,53146,27904,22713
*data,S0C,,20857,10570,8441
*data,S0E,,33089,15854,13281
*data,S0G,,61106,30587,24381
*data,S0H,,22539,11773,9327
*data,S0J,,47715,22867,15804
*data,S0K,,71442,29950,26868
*data,S0L,,30047,14060,12047
*data,S0M,,45045,20628,15491
*data,S0N,,22074,10125,8334
*data,S0P,,6651,2212,1842
*data,S2V,,601,383,249
*data,S3N,,17380,7845,7437
*data,S4A,,11204,4890,4644
*data,S4H,,10263,4586,4349
*data,S4L,,1614,508,504
*data,S4N,,28641,12211,11651
*data,S4P,,12191,8034,7131
*data,S4R,,33653,14203,13664
*data,S4S,,32692,14769,14152
*data,S4T,,31316,14730,13700
