*header,hse_type,region,upgrade,eligible,total
*data,2-DR,3-OT,AWHP,1109,1231
*data,2-DR,4-PR,SDHW,81,441
*data,2-DR,4-PR,WAM,308,441
*data,2-DR,4-PR,WTM3310,441,441
*data,2-DR,4-PR,WTM2010,365,441
*data,2-DR,4-PR,WTM3200,431,441
*data,2-DR,4-PR,WTM2100,365,441
*data,2-DR,4-PR,WTM2110,365,441
*data,2-DR,4-PR,WTM3210,441,441
*data,2-DR,4-PR,WTM3000,431,441
*data,2-DR,4-PR,FVB,21,441
*data,2-DR,4-PR,FOH,14,441
*data,2-DR,4-PR,PCM,340,441
*data,2-DR,4-PR,CVB,23,441
*data,2-DR,4-PR,PV,81,441
*data,2-DR,4-PR,BIPVT,181,441
*data,2-DR,4-PR,ICE_CHP,428,441
*data,2-DR,4-PR,SE_CHP,428,441
*data,2-DR,4-PR,SCS,267,441
*data,2-DR,4-PR,AWHP,428,441
*data,2-DR,5-BC,SDHW,84,315
*data,2-DR,5-BC,WAM,192,315
*data,2-DR,5-BC,WTM3310,315,315
*data,2-DR,5-BC,WTM2010,308,315
*data,2-DR,5-BC,WTM3200,315,315
*data,2-DR,5-BC,WTM2100,308,315
*data,2-DR,5-BC,WTM2110,308,315
*data,2-DR,5-BC,WTM3210,315,315
*data,2-DR,5-BC,WTM3000,315,315
*data,2-DR,5-BC,FVB,29,315
*data,2-DR,5-BC,FOH,26,315
*data,2-DR,5-BC,PCM,246,315
*data,2-DR,5-BC,CVB,30,315
*data,2-DR,5-BC,PV,84,315
*data,2-DR,5-BC,BIPVT,109,315
*data,2-DR,5-BC,ICE_CHP,243,315
*data,2-DR,5-BC,SE_CHP,243,315
*data,2-DR,5-BC,SCS,174,315
*data,2-DR,5-BC,AWHP,243,315
