CHREM:zone 01:net:air exch zone amb total CVI avg (W), CHREM:zone 01:net:flux cas gain CONV (W), CHREM:zone 01:net:flux cas gain RAD (W), CHREM:zone 01:net:flux heat cool sys (W), CHREM:zone 01:net:storage air mass sensible (W), 
-717.73920, 113.28100, 113.28100, 626.35553, 0.0000000, 
-731.60651, 306.01227, 306.01227, 824.26599, 0.0000000, 
-666.17810, 634.87378, 634.87378, 793.89008, 0.0000000, 
-603.85229, 847.42676, 847.42676, 776.47565, 0.0000000, 
-625.90167, 967.78223, 967.78223, 794.07349, 0.0000000, 
-620.43787, 959.41748, 959.41748, 898.22717, 0.0000000, 
-593.91040, 752.63574, 752.63574, 1190.2375, 0.0000000, 
-603.68359, 422.40625, 422.40625, 1687.2661, 0.0000000, 
-648.35229, 203.12726, 203.12726, 2137.4951, 0.0000000, 
-681.11066, 163.36975, 163.36975, 2368.6809, 0.0000000, 
-700.62067, 257.93274, 257.93274, 2376.7524, 0.0000000, 
-681.58838, 281.08899, 281.08899, 2367.8955, 0.0000000, 
-642.00043, 178.37500, 178.37500, 2480.3481, 0.0000000, 
-630.60535, 129.92500, 129.92500, 2584.8115, 0.0000000, 
-689.93750, 111.49974, 111.49974, 2727.5132, 0.0000000, 
-725.39178, 136.69374, 136.69374, 2794.5845, 0.0000000, 
-712.15936, 159.19449, 159.19449, 2726.2229, 0.0000000, 
-722.80475, 214.48450, 214.48450, 2402.7012, 0.0000000, 
-731.38049, 279.77802, 279.77802, 1841.2656, 0.0000000, 
-731.38049, 228.91974, 228.91974, 1390.1306, 0.0000000, 
-733.63916, 144.53125, 144.53125, 1032.6317, 0.0000000, 
-818.23444, 132.44725, 132.44725, 766.85278, 0.0000000, 
-850.23029, 168.48550, 168.48550, 601.27356, 0.0000000, 
-731.74542, 361.06000, 361.06000, 362.96875, 0.0000000, 
-686.70911, 570.40674, 570.40674, 354.55420, 0.0000000, 
-755.67462, 633.66248, 633.66248, 691.13391, 0.0000000, 
-786.71655, 589.85803, 589.85803, 1158.1548, 0.0000000, 
-704.53204, 558.97827, 558.97827, 1421.7107, 0.0000000, 
-658.60864, 1016.4888, 1016.4888, 1065.9666, 0.0000000, 
-700.52429, 1381.1748, 1381.1748, 784.12402, 0.0000000, 
-713.45593, 1610.9702, 1610.9702, 531.67444, 0.0000000, 
-711.65088, 1305.4218, 1305.4218, 854.08936, 0.0000000, 
-738.54303, 717.32422, 717.32422, 1624.3230, 0.0000000, 
-780.81946, 846.64301, 846.64301, 1675.6688, 0.0000000, 
-798.74896, 569.55176, 569.55176, 2079.4829, 0.0000000, 
-803.62982, 194.10699, 194.10699, 2618.8062, 0.0000000, 
-747.05804, 209.52548, 209.52548, 2677.8335, 0.0000000, 
-721.61511, 198.13974, 198.13974, 2743.5693, 0.0000000, 
-768.71643, 306.69623, 306.69623, 2735.3486, 0.0000000, 
-798.57214, 392.56674, 392.56674, 2682.7852, 0.0000000, 
-811.94891, 285.29276, 285.29276, 2634.8911, 0.0000000, 
-802.45282, 298.78748, 298.78748, 2008.0613, 0.0000000, 
-766.45642, 439.60599, 439.60599, 875.13062, 0.0000000, 
-728.62909, 435.47351, 435.47351, 95.533295, 72.647064, 
-704.43640, 294.85449, 294.85449, 0.0000000, 175.15135, 
-727.61920, 170.66576, 170.66576, 0.0000000, 57.757751, 
-721.62244, 177.73375, 177.73375, 0.0000000, 29.807293, 
-654.68549, 167.06049, 167.06049, 0.0000000, -49.411549, 
-584.78699, 157.88350, 157.88350, 0.0000000, -96.701836, 
-549.71289, 174.62726, 174.62726, 0.0000000, -118.74423, 
-591.76959, 436.32846, 436.32846, 15.821935, -71.831482, 
-600.48883, 872.34998, 872.34998, 15.821935, 1.0785755, 
-587.89368, 943.08704, 943.08704, 280.54346, -1.0786189, 
-596.67810, 821.69122, 821.69122, 755.13885, 0.0000000, 
-651.82092, 561.55750, 561.55750, 1415.3025, 0.0000000, 
-640.92157, 299.71375, 299.71375, 1948.1544, 0.0000000, 
-567.38416, 208.07201, 208.07201, 2199.2715, 0.0000000, 
-559.31189, 138.58900, 138.58900, 2432.3345, 0.0000000, 
-556.70959, 155.80301, 155.80301, 2521.7053, 0.0000000, 
